AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Stabilization Pond,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Unspecified Nutrient Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
Alturas City,Alturas Municipal WWTP,CA0078921,r5-2020-0004_npdes_minor_mod.pdf,No,PRESENT,PRESENT,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
American Canyon City PWD,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),CA0038768,Order R2-2022-0019 AmCan NPDES reissue Jun-2022.pdf,No,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
American Valley CSD,American Valley WWTP,CA0078981,r5-2024-0008_npdes.pdf,No,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,PRESENT,0,0,0,0,0,0
Anderson City,Anderson WPCP,CA0077704,R5-2025-0011_npdes.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Angels City,Angels City WWTP,CA0085201,r5-2022-0038_npdes.pdf,No,0,0,0,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0
Arcata City,Arcata City WWTF,,19_0006_Arcata_NPDES.pdf,No,0,PRESENT,PRESENT,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,PRESENT
Atwater City,Atwater Regional WWTF,,city of atwater_wwtf.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0
Avalon City,Avalon WWTF,CA0054372,Adopted Avalon NPDES Permit_CI 0066 05232024_ADAchecked_signed.pdf,No,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Avila Beach CSD,Avila WWTP,CA0047830,R3-2017-0025 FINAL.pdf,No,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,FUTURE,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Valley Water District (Bear Valley, CA)",Bear Valley WWTF,CA0085146,r5-2022-0037_npdes.pdf,No,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
