Place ID,WDID,Facility Name,Agency,Region,Major/Minor,Order_No,NPDES No.,Facility_URL,Reg_Measure_ID,Reg_Measure_Type,Addtl_Reg_Measure_ID,Addtl_WDID,PDF_File,Shared_PDF,Total_PDFs_Available
205325,5A250100001,Alturas Municipal WWTP,Alturas City,5R,Minor,R5-2020-0004,CA0078921,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205325,428906,NPDES PERMIT,,,r5-2020-0004_npdes_minor_mod.pdf,No,9
205477,2 283021001,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),American Canyon City PWD,2,Major,R2-2022-0019,CA0038768,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205477,448119,NPDES PERMIT,,,Order R2-2022-0019 AmCan NPDES reissue Jun-2022.pdf,No,1
251217,5A320103001,American Valley WWTP,American Valley CSD,5R,Major,R5-2024-0008,CA0078981,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=251217,456253,NPDES PERMIT,,,r5-2024-0008_npdes.pdf,No,1
205741,5A450100001,Anderson WPCP,Anderson City,5R,Major,R5 2025-0011,CA0077704,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205741,458134,NPDES PERMIT,,,R5-2025-0011_npdes.pdf,No,2
205793,5B05NP00007,Angels City WWTP,Angels City,5S,Minor,R5-2022-0038,CA0085201,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205793,448453,NPDES PERMIT,,,r5-2022-0038_npdes.pdf,No,1
206164,1B82114OHUM,Arcata City WWTF,Arcata City,SB,Major,2020-0015-DWQ,,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=206164,436548,NPDES PERMIT,,,19_0006_Arcata_NPDES.pdf,No,1
747519,5B24NP00017,Atwater Regional WWTF,Atwater City,SB,Major,2020-0015-DWQ,,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=747519,422026,ENROLLEE - NPDES,,,city of atwater_wwtf.pdf,No,2
206733,5A31NP00042,Auburn WWTP,Auburn City,5S,"Major, Minor",R5-2023-0025,CAC448871,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=206733,448871,ENROLLEE - NPDES,,,r5-2017-0085-021_noa.pdf,No,2
208276,4B190100001,Avalon WWTF,Avalon City,4,Major,R4-2024-0253,CA0054372,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=208276,455133,NPDES PERMIT,,,Adopted Avalon NPDES Permit_CI 0066 05232024_ADAchecked_signed.pdf,No,2
206888,3 400101001,Avila WWTP,Avila Beach CSD,3,Minor,R3-2017-0025,CA0047830,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=206888,418016,NPDES PERMIT,,,R3-2017-0025 FINAL.pdf,No,1
273161,5C15NC00279,Bear Valley CSD WWTF,Bear Valley CSD,5F,Minor,R5-2024-0005,,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=273161,456261,WDR,,,R5-2024-0005_Bear Valley CSDW_MRP.pdf,No,3
273161,5C15NC00279,Bear Valley CSD WWTF,Bear Valley CSD,5F,Minor,R5-2024-0005,,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=273161,456261,WDR,,,R5-2024-0005_Bear Valley CSDW_WDR.pdf,No,3
209035,5B02NP00001,Bear Valley WWTF,"Bear Valley Water District (Bear Valley, CA)",5S,Minor,R5-2022-0037,CA0085146,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=209035,448452,NPDES PERMIT,,,r5-2022-0037_npdes.pdf,No,1
259170,8 330101001,Beaumont WWTP No. 1,Beaumont City,8,Major,R8-2022-0042,CA0105376,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=259170,451859,NPDES PERMIT,,,R8-2022-0042_City of Beaumont_Order_NPDES_Final 11-30-2022_esigned.pdf,No,1
209253,2 482001001,Benicia WWTP,Benicia City,2,Major,R2-2025-0001,CA0038091,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=209253,459990,NPDES PERMIT,,,Benicia R2-2025-0001.pdf,No,1
259181,8 360108001,Big Bear WWRF,Big Bear Area Regional WW Agency,SB,Major,2020-0015-DWQ,,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=259181,297017,WDR,,,,No,1
209551,5A04NC00067,City of Biggs WWTP,Biggs City,5R,Minor,R5-2020-0008,,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=209551,421669,WDR,,,r5-2020-0008_wdr.pdf,No,1
210272,7A130100011,Brawley City WWTP,Brawley City,7,Major,R7-2021-0005,CA0104523,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=210272,444249,NPDES PERMIT,,,R7-2021-0005.pdf,No,3
210322,5B070101001,Brentwood WWTP,Brentwood City,5S,Major,R5-2024-0020,CA0082660,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=210322,456852,NPDES PERMIT,,,r5-2024-0020_npdes.pdf,No,2
212135,4B190101001,Burbank WRP,Burbank City DPW,4,Major,R4-2023-0358,CA0055531,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=212135,452357,NPDES PERMIT,,,4424_R4-2023-0358_WDR_PKG.pdf,No,1
210839,2 417005001,Burlingame WWTP,Burlingame City PWD,2,Major,R2-2023-0010,CA0037788,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=210839,453437,NPDES PERMIT,,,Burlingame R2-2023-0010.pdf,No,1
219701,5B390100001,Deuel Vocational Institution,Ca Dept of Corrections & Rehabilitation,5S,Minor,R5-2022-0006-03,CAG995002,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=219701,461159,ENROLLEE - NPDES,,,r5-2022-0006-036.pdf,No,1
213850,7A131337001,CA Dept of Corrections Centinela WWTP,Ca Dept of Corrections Imperial,7,Minor,R7-2024-0019,CA7000001,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=213850,457224,NPDES PERMIT,,,R7-2024-0019.pdf,No,2
212681,3 400108001,California Men's Colony WWTP,Ca Dept of Corrections San Luis Obispo,3,Major,R3-2020-0005,CA0047856,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=212681,439321,NPDES PERMIT,,,CMC NPDES Order R3-2020-0005 amended for new MRP.pdf,No,1
