Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
ANSONIA WPCF,09000020001,"$30,494,124","$11,236,876","$7,974,435",,,,,"$49,705,435",2.193,3.5,3.5,"16,854",,"1,700",,"16,854","20,409",,250,,"20,409",CT0100013,Individual Permit,ANSONIA TOWN OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
BEACON FALLS WPCF,09000060001,,"$1,810,070",,,,,,"$1,810,070",.31,.5,.386,"3,000",,"2,426",,"3,000","3,300",,"2,669",,"3,300",CT0101061,Individual Permit,BEACON FALLS TOWN OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
BRANFORD WPCF,09000140001,,,,,,,,,4.076,4.9,4.9,"9,900",,"14,500",,"9,900","25,850",,"2,500",,"25,850",CT0100048,Individual Permit,BRANFORD TOWN OF,New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
BRIDGEPORT WESTSIDE,09000150001,,,"$8,000,000",,"$74,000,000",,,"$82,000,000",24.092,30,30,"102,175","15,350","1,567",,"117,525","82,411","22,409","1,068",,"104,820",CT0100056,Individual Permit,CITY OF BRIDGEPORT WPCA,Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
BRIDGEPORT EAST SIDE,09000150002,"$990,000",,,,"$74,000,000",,,"$74,990,000",8.028,12,9.227,"40,465","2,528",,,"42,993","39,786","3,409",,,"43,195",CT0101010,Individual Permit,"BRIDGEPORT, CITY OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
BRISTOL STP,09000170002,"$450,000","$5,500,000",,"$19,010,444",,,,"$24,960,444",9.569,10.75,10.75,"43,900",,"17,360",,"43,900","51,820",880,"13,000",,"52,700",CT0100374,Individual Permit,"BRISTOL, CITY OF",Hartford,Farmington,01080207,1st Congressional District,CT,1,MAP
CANTON WPCF,09000230001,"$3,000,000","$1,875,000",,,,,,"$4,875,000",.545,.646,.646,"3,396","1,200","5,448",,"4,596","4,236","2,080","5,493",,"6,316",CT0100072,Individual Permit,CANTON SEWER COMMISSION,Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
CHESHIRE WPCF,09000250001,,"$6,409,009",$300,"$6,489,451",,,,"$12,898,760",2.409,3.5,3.5,"7,950",,"19,650",,"7,950","18,100",,"13,000",,"18,100",CT0100081,Individual Permit,CHESHIRE CHIEF EXECUTIVE,New Haven,Quinnipiac,01100004,5th Congressional District,CT,1,MAP
CHESTER COMM. SYSTEM,09000260001,,,,"$3,745,819",,,,"$3,745,819",.01,.01,,200,,"1,582",,200,400,,"1,388",,400,,,CHESTER WPCA,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
COVENTRY WPCF,09000320001,,,,,,,,,.12,.2,.2,"2,000",,"9,505",,"2,000","2,140",,"10,513",,"2,140",,,"COVENTRY, TOWN OF",Tolland,Shetucket,01100002,2nd Congressional District,CT,1,MAP
MATTABASSETT WPCF,09000331001,"$24,595,466","$23,972,984",,,,,,"$48,568,450",17.388,20,31,,"95,547",,,"95,547",,"148,634",,,"148,634",CT0100307,Individual Permit,MATTABASSETT DISTRICT COM,Middlesex,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
DANBURY WPCF,09000340001,,"$2,812,500",,,,,,"$2,812,500",8.33,15.5,15.5,"32,038","9,475","29,134",,"41,513","65,026","11,875","1,784",,"76,901",CT0100145,Individual Permit,DANBURY CITY OF,Fairfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
DEEP RIVER WPCF,09000360001,,,,,,,,,.08,.24,.24,"1,500",,"3,110",,"1,500","2,000",400,"3,071",,"2,400",CT0101745,Individual Permit,DEEP RIVER TOWN OF,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
DERBY WPCF,09000370001,"$2,700,000",,"$730,804",,,,,"$3,430,804",1.453,3.03,3.03,"11,741",,650,,"11,741","12,000",,400,,"12,000",CT0100161,Individual Permit,DERBY CITY OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
E HADDAM WPCF,09000410001,,,,,,,,,.021,.055,.055,300,,"8,033",,300,300,,"8,833",,300,CT0101761,Individual Permit,E HADDAM TOWN OF,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
EAST HAMPTON WPCF,09000420001,"$10,000,000","$12,000,000","$1,400,000",,,,,"$23,400,000",1.51,3.9,3.9,"4,500","6,600","4,850",,"11,100","9,127","9,710","3,375",,"18,837",CT0024694,Individual Permit,EAST HAMPTON WPCA,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
E WINDSOR WAREHOUSE PT.,09000470001,,,"$133,352","$3,058,198",,,,"$3,191,550",.92,2.5,2.5,"6,750",,"3,360",,"6,750","8,120",,"2,500",,"8,120",CT0100196,Individual Permit,"EAST WINDSOR, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
ENFIELD WWTF,09000490001,,"$544,075","$511,181",,,,,"$1,055,256",5.269,10,10,"36,400",,"9,280",,"36,400","38,500",,"8,890",,"38,500",CT0100200,Individual Permit,"ENFIELD, TOWN OF",Hartford,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
FAIRFIELD WPCF,09000510001,"$172,500",,"$562,500",,,,,"$735,000",7.226,9,9,"54,140",,"3,200",,"54,140","59,540",,"3,600",,"59,540",CT0101044,Individual Permit,"FAIRFIELD, TOWN OF",Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
FARMINGTON WPCF,09000520001,"$683,533","$2,954,096","$562,500","$684,539",,,,"$4,884,668",4.259,5.65,5.65,"15,500","3,540","8,141",,"19,040","18,500","5,979","8,900",,"24,479",CT0100218,Individual Permit,"FARMINGTON, TOWN OF",Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
GLASTONBURY WPCF,09000540001,,"$30,530,000",,,,,,"$30,530,000",2.239,3.64,4.23,"19,226",,"12,650",,"19,226","22,800",,"12,250",,"22,800",CT0100226,Individual Permit,"GLASTONBURY, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
Goshen: Woodridge Lake Sewer Dist,09000550002,"$2,667,033","$2,667,033","$1,778,022","$4,000,550",,,,"$11,112,638",.1,.1,.1,300,,,,300,360,,,,360,,,Woodridge Lake Sewer District,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
GREENWICH WPCF,09000570001,"$2,500,000",,"$1,903,744","$25,000,000",,,,"$29,403,744",9.413,12,12,"50,581",,"9,691",,"50,581","55,300",,"2,023",,"55,300",CT0100234,Individual Permit,GREENWICH CHIEF EXECUTIVE,Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
JEWETT CITY WPCF,09000580001,,,,,"$1,348,333",,,"$1,348,333",.3,1.1,1.1,"3,388",,"5,664",,"3,388","5,228",,"7,104",,"5,228",CT0100269,Individual Permit,Jewett City Dept of Public Utilities,New London,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
GLASGO COMMUNITY WTP,09000580002,,,,,,,,,.01,.01,.01,90,,,,90,90,,,,90,,,GRISWOLD WPCA,New London,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
GROTON WPCF,09000590001,"$11,273,326","$6,442,228","$3,920,000",,,,,"$21,635,554",3.298,5,7.5,"31,776",,"3,531",,"31,776","37,181",,"1,957",,"37,181",CT0100242,Individual Permit,"GROTON, TOWN OF",New London,Long Island Sound,01100007,2nd Congressional District,CT,1,MAP
GROTON CITY WPCF,09000591001,,,,,,,,,1.883,3.1,3.1,"9,100",,,,"9,100","9,300",,,,"9,300",CT0101184,Individual Permit,"GROTON, CITY OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
HADDAM : Higganum Area,09000610001,"$435,171","$174,560",,"$962,539",,,,"$1,572,270",,,.03,,,"4,457",,,300,,"4,500",,300,,,HADDAM TOWN OF,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
Haddam :Tylerville,09000610002,"$1,329,551",,,"$2,090,561",,,,"$3,420,112",,,.04,,,"1,500",,,400,,"1,100",,400,,,HADDAM TOWN OF,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
HARTFORD WPCF,09000641001,"$179,965,535","$50,694,517","$422,454,308",,"$1,005,441,253",,,"$1,658,555,613",53.48,70,73.319,"109,535","93,237","4,439",,"202,772","129,010","97,750","2,976",,"226,760",CT0100251,Individual Permit,THE METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
POQUONOCK STP,09000641002,,,"$1,200,000",,,,,"$1,200,000",1.991,5,5,"6,100",450,"22,160",,"6,550","9,300","1,000","20,030",,"10,300",CT0100994,Individual Permit,METROPOLITAN DISTRICT,Hartford,Farmington,01080207,1st Congressional District,CT,1,MAP
EAST HARTFORD WPCF,09000641003,,,,,,,,,5.963,10.5,10.5,"44,000",,"5,575",,"44,000","45,000",,"4,200",,"45,000",CT0100170,Individual Permit,METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
ROCKY HILL WPCF,09000641004,,"$1,575,000","$4,650,000",,,,,"$6,225,000",7.09,7.61,6.249,"11,770","22,000","5,080",,"33,770","13,150","23,800","4,500",,"36,950",CT0100480,Individual Permit,METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
KENT WWTF,09000680001,,,,,,,,,.07,.14,.14,925,,"1,985",,925,"1,005",,"1,965",,"1,005",,,"KENT, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
KILLINGLY WPCF,09000690001,"$6,181,584","$10,795,012",,,,,,"$16,976,596",2.721,8,8,"8,240","3,250","8,232",,"11,490","11,280","3,575","6,200",,"14,855",CT0101257,Individual Permit,"KILLINGLY, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
LEDYARD HIGHLANDS WPCF,09000720001,,,"$566,324",,,,,"$566,324",.143,.26,.26,"1,500",,"13,100",,"1,500","1,900",,"18,262",,"1,900",CT0101681,Individual Permit,"LEDYARD, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
LITCHFIELD WPCF,09000740001,,,,,,,,,.478,.77,.77,"6,200",600,"1,500",,"6,800","8,524",800,613,,"9,324",CT0100803,Individual Permit,"LITCHFIELD, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
MANCHESTER WPCF,09000770001,"$9,750,000","$5,004,000",,,,,,"$14,754,000",6.519,8.2,8.2,"41,000",,"11,220",,"41,000","45,800","1,160","9,270",,"46,960",CT0100293,Individual Permit,MANCHESTER TOWN OF,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
MERIDEN WPCF,09000800001,"$21,399,971","$10,688,057","$19,084,623",,,,,"$51,172,651",9.672,11.6,11.6,"50,449","1,130","7,333",,"51,579","55,400","1,130","5,683",,"56,530",CT0100315,Individual Permit,MERIDEN CITY OF,New Haven,Quinnipiac,01100004,5th Congressional District,CT,1,MAP
Middletown WPCF,09000830001,,,"$9,500,000","$20,000,000","$2,500,000",,,"$32,000,000",4.523,6.75,,"30,100","1,208","8,037",,"31,308","34,000","1,638","6,000",,"35,638",CT0100323,Individual Permit,"MIDDLETOWN, CITY OF",Middlesex,Lower Connecticut,01080205,3rd Congressional District,CT,1,MAP
BEAVER BROOK WPCF,09000840004,"$4,519,500","$6,000,000",,,,,,"$10,519,500",1.911,3.1,3.1,"10,621",,"10,924",,"10,621","15,000",,"4,890",,"15,000",CT0100749,Individual Permit,MILFORD TOWN OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
MILFORD - HOUSATONIC WPCF,09000840005,"$21,764,478","$19,992,159",,"$16,276,604",,,,"$58,033,241",6.827,8.3,5.811,"24,278",900,"19,058",,"25,178","27,200","4,200","19,250",,"31,400",CT0101656,Individual Permit,"MILFORD, TOWN OF",New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
MONTVILLE WPCF,09000860001,,,,"$1,778,022",,,,"$1,778,022",2.488,3.4,3.4,"10,446",,"8,100",,"10,446","12,700",,"7,900",,"12,700",CT0100935,Individual Permit,"MONTVILLE, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
NAUGATUCK WPCF,09000880001,,,"$1,350,000","$1,391,250",,,,"$2,741,250",4.563,10.3,10.3,"16,186","3,450","10,581",,"19,636","22,000","5,188","1,295",,"27,188",CT0100641,Individual Permit,"NAUGATUCK, BOROUGH OF",New Haven,Housatonic,01100005,5th Congressional District,CT,1,MAP
NEW CANAAN WPCF,09000900001,,"$2,558,869",,,,,,"$2,558,869",.91,1.5,1.5,"7,000",,"11,056",,"7,000","11,000",,"7,710",,"11,000",CT0101273,Individual Permit,"NEW CANAAN, TOWN OF",Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
NEW HARTFORD WPCF,09000920001,"$3,412,500","$3,412,500","$110,701","$5,645,731",,,,"$12,581,432",.089,.09,.4,700,,"5,151",,700,"2,500",,"4,731",,"2,500",CT0100331,Individual Permit,"NEW HARTFORD, TOWN OF",Litchfield,Farmington,01080207,1st Congressional District,CT,1,MAP
NEW HAVEN EAST SHORE WPCF,09000930003,"$138,796,315","$46,966,897","$4,000,000",,"$300,000,000",,,"$489,763,212",30.71,40,40,"122,000","65,888","1,770",,"187,888","131,000","81,292","1,740",,"212,292",CT0100366,Individual Permit,"NEW HAVEN, CITY OF",New Haven,Long Island Sound,01100007,3rd Congressional District,CT,1,MAP
NEW LONDON WPCF,09000950001,,,"$7,310,545",,,,,"$7,310,545",7.978,10,10,"28,668","18,475",501,,"47,143","32,500","29,506",372,,"62,006",CT0100382,Individual Permit,"NEW LONDON, CITY OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
NEW MILFORD WPCF,09000960001,"$14,402,000","$14,401,000","$2,000,000","$2,133,626",,,,"$32,936,626",.517,1,2,"4,046",,"15,598",,"4,046","10,461",,"14,547",,"10,461",CT0100391,Individual Permit,"MILFORD, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NEWTOWN WPCF,09000970001,,,,,,,,,.463,.932,.932,"2,400",,"22,631",,"2,400","3,000",,"25,000",,"3,000",CT0101788,Individual Permit,"NEWTOWN, TOWN OF",Fairfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NORFOLK WPCF,09000980001,,"$782,330","$1,955,825",,,,,"$2,738,155",.291,.35,.35,"1,213",,447,,"1,213","1,400",,300,,"1,400",CT0101231,Individual Permit,NORFOLK SEWER DISTRICT,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NORTH CANAAN WPCF,09001000001,,,,,,,,,.31,.33,.33,"1,400",,"1,950",,"1,400","2,100",,"1,370",,"2,100",CT0100064,Individual Permit,CANAAN FIRE DISTRICT,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NORTH HAVEN WPCF,09001010001,,,,,,,,,2.965,4.57,4.57,"10,722","3,198","12,219",,"13,920","19,614","6,347","3,699",,"25,961",CT0100404,Individual Permit,"NORTH HAVEN, TOWN OF",New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
NORWALK WPCF,09001030001,"$8,000,000","$6,000,000","$1,165,000",,"$22,500,000",,,"$37,665,000",9.07,15,15,"63,935","1,500","16,691",,"65,435","60,328","2,400","2,295",,"62,728",CT0101249,Individual Permit,NORWALK WPCF,Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
NORWICH WPCF,09001040001,"$32,900,519","$9,089,248","$9,611,987","$8,722,976","$48,000,000",,,"$108,324,730",4.175,8.5,8.5,"25,500",30,"10,530",,"25,530","29,800",30,"8,440",,"29,830",CT0100412,Individual Permit,"NORWICH, CITY OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
PLAINFIELD NORTH WPCF,09001090001,,"$930,403","$2,465,388","$8,604,865",,,,"$12,000,656",.68,1.08,2.03,"3,338",400,"4,106",,"3,738","5,115",500,"3,296",,"5,615",CT0100439,Individual Permit,"PLAINFIELD, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
PLAINFIELD VILLAGE WPCF,09001090002,"$1,988,041","$795,216",,,,,,"$2,783,257",.521,.7,.7,"3,641",,"1,830",,"3,641","5,911",,"1,704",,"5,911",CT0100447,Individual Permit,"PLAINFIELD, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
PLAINVILLE WPCF,09001100001,"$8,044,000","$16,088,000",,,,,,"$24,132,000",1.76,3.8,3.8,"14,510",,"2,940",,"14,510","15,540",,"2,600",,"15,540",CT0100455,Individual Permit,"PLAINVILLE, TOWN OF",Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
