Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
ANSONIA WPCF,09000020001,,,,,"$4,033,191",,,,,,,,,,,,"$4,033,191",,,2.193,3.5,3.5,"16,854",,"1,700",,"16,854",0,16854,"20,409",,250,,"20,409",0,20409,CT0100013,Individual Permit,ANSONIA TOWN OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
BEACON FALLS WPCF,09000060001,,,"$886,411",,,,,,,,,,,,,,"$886,411",,,.31,.5,.386,"3,000",,"2,426",,"3,000",0,3000,"3,300",,"2,669",,"3,300",0,3300,CT0101061,Individual Permit,BEACON FALLS TOWN OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
BRANFORD WPCF,09000140001,,,,,,,,,,,,,,,,,,,,4.076,4.9,4.9,"19,900",,"8,126",,"19,900",0,19900,"25,850",,"1,900",,"25,850",0,25850,CT0100048,Individual Permit,BRANFORD TOWN OF,New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
BRIDGEPORT WESTSIDE,09000150001,,,"$40,000,000",,"$8,000,000",,,,"$400,500,000.00",,,,,,,,"$448,500,000",,,24.092,30,30,"102,175","15,350","1,567",,"117,525",0,117525,"82,411","19,409","1,068",,"101,820",0,101820,CT0100056,Individual Permit,CITY OF BRIDGEPORT WPCA,Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
BRIDGEPORT EAST SIDE,09000150002,,,"$40,000,000",,,,,,,,,,,,,,"$40,000,000",,,8.028,12,9.227,"40,465","2,528",,,"42,993",0,42993,"39,786","3,409",,,"43,195",0,43195,CT0101010,Individual Permit,"BRIDGEPORT, CITY OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
BRISTOL STP,09000170002,"$570,600",,"$13,694,400",,"$3,613,800",,"$8,559,000",,,,,,,,,,"$26,437,800",,,9.569,10.75,10.75,"43,900",800,"17,360",,"44,700",0,44700,"51,820",880,"13,000",,"52,700",0,52700,CT0100374,Individual Permit,"BRISTOL, CITY OF",Hartford,Farmington,01080207,1st Congressional District,CT,1,MAP
CANTON WPCF,09000230001,,,"$3,233,400",,,,"$1,207,770",,,,,,,,,,"$4,441,170",,,.545,.646,.646,"3,396","1,800","5,448",,"5,196",0,5196,"4,236","2,080","5,493",,"6,316",0,6316,CT0100072,Individual Permit,CANTON SEWER COMMISSION,Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
CHESHIRE WPCF,09000250001,,,"$31,300,000",,"$3,700,000",,,,,,,,,,,,"$35,000,000",,,2.409,3.5,3.5,"7,950",,"19,650",,"7,950",0,7950,"18,100",,"13,000",,"18,100",0,18100,CT0100081,Individual Permit,CHESHIRE CHIEF EXECUTIVE,New Haven,Quinnipiac,01100004,5th Congressional District,CT,1,MAP
CHESTER COMM. SYSTEM,09000260001,,,,,,,,,,,,,,,,,,,,.01,.01,,200,,"1,582",,200,200,0,400,,"1,388",,400,400,0,,,CHESTER WPCA,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
COVENTRY WPCF,09000320001,,,"$6,759,889",,,,"$2,601,945",,,,,,,,,,"$9,361,834",,,.12,.2,,"2,000",,"9,505",,"2,000",0,2000,"2,140",,"10,513",,"2,140",2140,0,,,"COVENTRY, TOWN OF",Tolland,Shetucket,01100002,2nd Congressional District,CT,1,MAP
MATTABASSETT WPCF,09000331001,,,"$107,000,000",,,,,,,,,,,,,,"$107,000,000",,,17.388,20,31,,"95,547",,,"95,547",0,95547,,"148,634",,,"148,634",0,148634,CT0100307,Individual Permit,MATTABASSETT DISTRICT COM,Middlesex,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
DANBURY WPCF,09000340001,"$770,310",,,,"$3,546,279",,"$13,413,856",,,,,,,,,,"$17,730,445",,,8.33,15.5,15.5,"32,038","9,475","29,134",,"41,513",0,41513,"65,026","11,875","1,784",,"76,901",0,76901,CT0100145,Individual Permit,DANBURY CITY OF,Fairfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
DEEP RIVER WPCF,09000360001,,,,,,,,,,,,,,,,,,,,.189,.24,.24,"1,500",200,"3,110",,"1,700",0,1700,"2,000",400,"3,071",,"2,400",0,2400,CT0101745,Individual Permit,DEEP RIVER TOWN OF,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
DERBY WPCF,09000370001,,,,,,,,,,,,,,,,,,,,1.453,3.03,3.03,"11,741",,650,,"11,741",0,11741,"12,000",,400,,"12,000",0,12000,CT0100161,Individual Permit,DERBY CITY OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
E HADDAM WPCF,09000410001,,,,,,,,,,,,,,,,,,,,.021,.055,.055,300,,"8,033",,300,0,300,300,,"8,833",,300,0,300,CT0101761,Individual Permit,E HADDAM TOWN OF,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
EAST HAMPTON WPCF,09000420001,,,,,,,,,,,,,,,,,,,,1.51,3.9,3.9,"4,500","8,100","4,850",,"12,600",0,12600,"9,127","9,710","3,375",,"18,837",0,18837,CT0024694,Individual Permit,EAST HAMPTON WPCA,Middlesex,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
E WINDSOR WAREHOUSE PT.,09000470001,,,,,,,,,,,,,,,,,,,,.92,2.5,2.5,"7,750",,"3,360",,"7,750",0,7750,"8,120",,"2,500",,"8,120",0,8120,CT0100196,Individual Permit,"EAST WINDSOR, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
ENFIELD WWTF,09000490001,,,,,,,,,,,,,,,,,,,,5.269,10,10,"36,400",,"9,280",,"36,400",0,36400,"38,500",,"8,890",,"38,500",0,38500,CT0100200,Individual Permit,"ENFIELD, TOWN OF",Hartford,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
FAIRFIELD WPCF,09000510001,,,,,,,,,,,,,,,,,,,,7.226,9,9,"54,140",,"3,200",,"54,140",0,54140,"59,540",,"3,600",,"59,540",0,59540,CT0101044,Individual Permit,"FAIRFIELD, TOWN OF",Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
FARMINGTON WPCF,09000520001,"$52,000,000",,"$6,000,000",,"$600,000",,,,,,,,,,,,"$58,600,000",,,4.259,5.65,5.65,"15,500","3,540","8,141",,"19,040",0,19040,"18,500","5,979","8,900",,"24,479",0,24479,CT0100218,Individual Permit,"FARMINGTON, TOWN OF",Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
GLASTONBURY WPCF,09000540001,,,,,,,,,,,,,,,,,,,,2.239,3.64,3.64,"19,226",,"12,650",,"19,226",0,19226,"22,800",,"12,250",,"22,800",0,22800,CT0100226,Individual Permit,"GLASTONBURY, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
Goshen: Woodridge Lake Sewer Dist,09000550002,"$4,755,000",,"$951,000",,"$3,804,000",,,,,,,,,,,,"$9,510,000",,,.1,.1,.1,300,,,,300,0,300,360,,,,360,0,360,,,Woodridge Lake Sewer District,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
GREENWICH WPCF,09000570001,"$5,231,451",,,,"$17,086,617",,"$2,234,850",,,,,,,,,,"$24,552,918",,,9.413,12,12,"50,581",,"9,691",,"50,581",0,50581,"55,300",,"2,023",,"55,300",0,55300,CT0100234,Individual Permit,GREENWICH CHIEF EXECUTIVE,Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
JEWETT CITY WPCF,09000580001,,,"$1,402,232",,,,,,,,,,,,,,"$1,402,232",,,.39,1.1,1.1,"3,388",,"5,664",,"3,388",0,3388,"5,228",,"7,104",,"5,228",0,5228,CT0100269,Individual Permit,Jewett City Dept of Public Utilities,New London,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
GLASGO COMMUNITY WTP,09000580002,,,,,,,,,,,,,,,,,,,,.01,.01,.01,90,,,,90,0,90,90,,,,90,0,90,,,GRISWOLD WPCA,New London,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
GROTON WPCF,09000590001,,,,,,,,,,,,,,,,,,,,3.298,7.5,7.5,"31,776",,"3,531",,"31,776",0,31776,"37,181",,"1,957",,"37,181",0,37181,CT0100242,Individual Permit,"GROTON, TOWN OF",New London,Long Island Sound,01100007,2nd Congressional District,CT,1,MAP
GROTON CITY WPCF,09000591001,,,,,,,,,,,,,,,,,,,,1.883,3.1,3.1,"9,100",,,,"9,100",0,9100,"9,300",,,,"9,300",0,9300,CT0101184,Individual Permit,GROTON WPCA (CITY OF),New London,Thames,01100003,2nd Congressional District,CT,1,MAP
HARTFORD WPCF,09000641001,,,"$192,900,000",,"$135,000,000",,,,"$2,152,800,000.00",,,,,,,,"$2,480,700,000",,,53.48,60,60,"121,000","93,237","4,439",,"214,237",0,214237,"129,010","97,750","2,976",,"226,760",0,226760,CT0100251,Individual Permit,THE METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
