Organization Name,Facility Name,CWNS_NUM,City,State,Application,SIC4,NAICS,OpYear,Latest Install Year,Capacity (kW),Prime Mover,Fuel Class - Prim Fuel,Last Verified,Project Profile Link,Microgrid,Critical Infrastructure,EPA Award Winner,BIOGAS_DOE_2012,BIOGAS_DOE_2022,BIOGAS_DOE_PROJ
Little Rock Wastewater Utility,Fourche Creek Wastewater,5000001001,Little Rock,AR, Wastewater Treatment,4952,22132,1983,1983,1300,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Wildcat Hill WWTP,Wildcat Hill WWTP,4000501002,Flagstaff,AZ, Wastewater Treatment,4952,22132,2008,2008,292,Reciprocating Engine,RENEWABLE - Digester Gas,2015,,,X,,1,1,1
City of Mesa,Northwest Wastewater Treatment Plant,4001315005,Mesa,AZ, Wastewater Treatment,4952,22132,2007,2007,500,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
City of Roseville,Pleasant Grove Wastewater Treatment Plant,6005227002,Roseville,CA, Wastewater Treatment,4952,221320,2023,2023,800,Microturbine,RENEWABLE - Digester Gas,2024,,,X,,,,1
"San Bernardino Fuel Cell, LLC",SB Water Reclamation Fuel Cell,,San Bernardino,CA, Wastewater Treatment,4941,22131,2021,2021,1400,Fuel Cell,RENEWABLE - Digester Gas,2023,,,X,,,1,1
City of Eureka,Elk River WWTP,06001010005,Eureka,CA, Wastewater Treatment,4952,22132,2021,2021,160,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
Irvine Ranch Water District,Michelson Water Recycling Plant,06008033001,Irvine,CA, Wastewater Treatment,4941,221310,2020,2020,1000,Microturbine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
City of Roseville,Dry Creek Wastewater Treatment Plant,06005227001,Roseville,CA, Wastewater Treatment,4952,22132,2019,2019,400,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,,1,1
City of Tulare / Clearway Energy,City of Tulare Wastewater Treatment Plant,06005015001,Tulare,CA, Wastewater Treatment,4952,22132,2011,2019,3100,Fuel Cell,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
Anaergia Inc. / City of Escondido,Hale Avenue Resource Recovery Facility (HARRF),06009032001,Escondido,CA, Wastewater Treatment,4952,22132,2018,2018,1200,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/467/City_of_Escondido_Bioenergy_Facility-Project_Profile.pdf,,X,,,1,1
LA Sanitation,Hyperion Sewage Treatment Plant,6004010001,Playa Del Rey,CA, Wastewater Treatment,4952,22132,2017,2017,32000,Combustion Turbine,RENEWABLE - Digester Gas,2024,,,X,,,1,1
South Orange County Wastewater,"JB Latham Treatment 
Plant",06009019001,Dana Point,CA, Wastewater Treatment,4952,22132,2017,2017,633,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
City of Riverside/Fuel Cell Energy,City of Riverside Water Quality Control Plant (RWQCP),6008001001,Riverside,CA, Wastewater Treatment,4952,22132,2016,2016,1400,Fuel Cell,RENEWABLE - Digester Gas,2024,,,X,,,1,1
Las Gallinas Valley Wastewater Treatment,Las Gallinas Wastewater Treatment,6002108001,San Rafael,CA, Wastewater Treatment,4952,221132,2016,2016,130,Microturbine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
Union Sanitary District,Union Sanitary District,6002081001,Union City,CA, Wastewater Treatment,4952,22132,2015,2015,1700,Reciprocating Engine,RENEWABLE - Digester Gas,2024,,,X,,,1,1
Silicon Valley Clean Water,Wastewater Treatment Plant,6002125001,Redwood City,CA, Wastewater Treatment,4952,22132,2015,2015,1200,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,,1,1
CA SGIP,Wastewater Treatment Plant,6002125001,Dana Point,CA, Wastewater Treatment,4952,221320,2015,2015,571,Reciprocating Engine,RENEWABLE - Digester Gas,2024,,,,,,1,1
2G Energy,Victor Valley Wastewater Reclamation Authority,6006009001,Victorville,CA, Wastewater Treatment,4952,22132,2014,2014,1600,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,,1,1
City of Oceanside,La Salina WWTP,6009041001,Oceanside,CA, Wastewater Treatment,4952,22132,2014,2014,320,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
San Luis Obispo Water Resource Recovery Facility,San Luis Obispo Water Resource Recovery Facility,6003004001,San Luis Obispo,CA, Wastewater Treatment,4952,22132,2014,2014,150,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
Wastewater Treatment Plant,Wastewater Treatment Plant,6002125001,,CA, Wastewater Treatment,4952,22132,2013,2013,3500,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,,1,1
City of Santa Rosa,Laguna Wastewater Treatment Plant,06001045001,Santa Rosa,CA, Wastewater Treatment,4952,22131,2005,2013,1160,Reciprocating Engine,RENEWABLE - Digester Gas,2021,,X,X,,1,1,1
City of Santa Barbara / Calpwr,El Estero Wastewater Treatment Facility,6003037001,Santa Barbara,CA, Wastewater Treatment,4952,21132,2004,2013,1150,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
East Bay Municipal Utility District,EBMUD Power Generation Station 2,6002036001,Oakland,CA, Wastewater Treatment,4952,22131,2012,2012,4600,Combustion Turbine,RENEWABLE - Digester Gas,2021,,,X,,1,1,1
South Bay Water Reclamation Plant,South Bay Water Reclamation Plant,6009031004,San Diego,CA, Wastewater Treatment,4941,22131,2012,2012,1400,Fuel Cell,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Orange County Sanitation District,Orange County Sanitation District,6008022002,Fountain Valley,CA, Wastewater Treatment,4952,22132,2012,2012,250,Fuel Cell,RENEWABLE - Digester Gas,2012,,,X,,1,1,1
CHP Clean Energy,Hill Canyon Wastewater Treatment Plant,6004007001,Thousand Oaks,CA, Wastewater Treatment,4952,22132,2007,2012,1500,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
Inland Empire Utilities Agency,Chino WWTP,6008010002,Chino,CA, Wastewater Treatment,4952,22132,2005,2012,2860,Fuel Cell,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Santa Margarita Water District,Chiquita Water Reclamation Plant / Santa Margarita Water District,06009074002,Santa Margarita,CA, Wastewater Treatment,4952,22132,2001,2012,180,Microturbine,RENEWABLE - Digester Gas,2019,,,X,,1,1,1
Inland Empire Utilities Agency,Waste Water Treatment Plant,6008010001,Ontario,CA, Wastewater Treatment,4952,22132,1998,2012,5655,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
Eastern Municipal Water District,Perris Valley Wastewater Treatment Plant,6008006006,Perris,CA, Wastewater Treatment,4952,22132,2011,2011,600,Fuel Cell,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
