FACILITY_UNIT_PROCESS_ID,CWNS_ID,FACILITY_ID,STATE_CODE,INFRASTRUCTURE_TYPE,TREATMENT_TYPE,UNIT_PROCESS,EXISTING_FLAG,PLANNED_FLAG,UNIT_PROCESS_NOTES
5208,12000170001,1078335,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5207,12000170001,1078335,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
5209,12000170001,1078335,FL,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
5206,12000170001,1078335,FL,Wastewater,Preliminary treatment,Screening,Y,,
3133,54005405001,1095317,WV,Wastewater,Solids handling,Biosolids Anaerobic Digestion without Energy Recovery,Y,,
3129,54005405001,1095317,WV,Wastewater,Preliminary treatment,Screening,Y,,
3130,54005405001,1095317,WV,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
3131,54005405001,1095317,WV,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,with secondary clarifiers
3132,54005405001,1095317,WV,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
1385,54005507001,1095341,WV,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,Combined sewer system with oxidation ditch wastewater treatment plant.
15,17000074001,1113363,IL,Wastewater,Disinfection,"Disinfection, Chemical",,Y,
2801,54003904001,3395578,WV,Wastewater,Secondary treatment,"Activated Sludge, Conventional",Y,,Equalization Basin with aeration Basin
2800,54003904001,3395578,WV,Wastewater,Preliminary treatment,Screening,Y,,
2805,54003904001,3395578,WV,Wastewater,Nutrient Removal and additional treatment,Filtration,Y,,Four Surface Sand Filters
2806,54003904001,3395578,WV,Wastewater,Disinfection,"Disinfection, UV",,Y,
2807,54003904001,3395578,WV,Wastewater,Full Advanced Treatment for Potable Reuse,Ultrafiltration (UF),,Y,Mixed Media Filters Replacing Sand Filters.
2803,54003904001,3395578,WV,Wastewater,Disinfection,Dechlorination,Y,,
2804,54003904001,3395578,WV,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
2802,54003904001,3395578,WV,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
4140,12000700030,3500400,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
4185,12000701010,3501022,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
1176,29003781002,1134017,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
1177,29003781002,1134017,MO,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
3829,29003781002,1134017,MO,Wastewater,Secondary treatment,"Lagoon, Aerobic",,Y,
3831,29003781002,1134017,MO,Wastewater,Secondary treatment,Biological Nutrient Removal (BNR) Membrane Bio-Reactor (MBR),,Y,MBBR
3830,29003781002,1134017,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
616,29001175001,1133500,MO,Wastewater,Preliminary treatment,Screening,Y,,septic tank
617,29001175001,1133500,MO,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,recirculating sand filter
618,29001175001,1133500,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1003,29002057001,1133664,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
311,29002191001,1133722,MO,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
2684,29002191001,1133722,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
2685,29002191001,1133722,MO,Wastewater,Secondary treatment,"Biological Treatment, Other",,Y,moving bed bioreactor
1818,29002418001,1133838,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
3142,29002418001,1133838,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
1883,29003160001,1133926,MO,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",,Y,
1882,29003160001,1133926,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
705,29004005000,1134031,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
2156,29004059001,1134076,MO,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
3917,29004059001,1134076,MO,Wastewater,Secondary treatment,"Activated Sludge, Conventional",,Y,activated sludge Biolac
2080,29004149001,1134161,MO,Wastewater,Preliminary treatment,Screening,Y,,
2081,29004149001,1134161,MO,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,oxidation ditch
2082,29004149001,1134161,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
6803,23000105001,1142544,ME,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
6804,23000105001,1142544,ME,Wastewater,Preliminary treatment,Screening,Y,,
6805,23000105001,1142544,ME,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
6802,23000105001,1142544,ME,Wastewater,Disinfection,Dechlorination,Y,,
6806,23000105001,1142544,ME,Wastewater,Solids handling,Biosolids Drying,Y,,
6887,09000700001,1071855,CT,Decentralized Wastewater Treatment,Decentralized,Other non-centralized treatment,Y,,
6886,09000700001,1071855,CT,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
7484,12000101009,409166,FL,Wastewater,Nutrient Removal and additional treatment,Biological N removal,Y,,
4131,12000700021,3500386,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
4245,12000701061,3501107,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
4218,12000701036,3501060,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
4244,12000701060,3501106,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
6897,09001120001,1071907,CT,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
6898,09001120001,1071907,CT,Decentralized Wastewater Treatment,Decentralized,Other non-centralized treatment,Y,,
5532,12000044001,1078159,FL,Wastewater,Nutrient Removal and additional treatment,Biological N removal,Y,,"aeration (with created anoxic zones in the aeration basins by removing aeration diffusers for a portion of the basins and providing mixing and internal recycling, remaining section will have aeration diffusers), chemical feed system, secondary clarifica"
6875,50000035001,1094085,VT,Decentralized Wastewater Treatment,Decentralized,Leach field,Y,,
6876,50000035001,1094085,VT,Decentralized Wastewater Treatment,Decentralized,Leach field,,Y,
6878,50000035001,1094085,VT,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
6877,50000035001,1094085,VT,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
1899,54000301001,1094709,WV,Wastewater,Secondary treatment,"Reactor, Sequencing Batch (SBR)",Y,,"fluidyne sequencing batch

reactor"
1900,54000301001,1094709,WV,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
1901,54000301001,1094709,WV,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
1389,54000701001,1094751,WV,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
3043,54001017001,1094775,WV,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
3042,54001017001,1094775,WV,Wastewater,Preliminary treatment,Flow Equalization,Y,,
3046,54001017001,1094775,WV,Wastewater,Disinfection,Dechlorination,Y,,
3047,54001017001,1094775,WV,Wastewater,Solids handling,Biosolids Anaerobic Digestion without Energy Recovery,Y,,
3045,54001017001,1094775,WV,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
3048,54001017001,1094775,WV,Wastewater,Solids handling,Biosolids Thickening,Y,,
3044,54001017001,1094775,WV,Wastewater,Secondary treatment,"Reactor, Sequencing Batch (SBR)",Y,,Sequencing Batch Reactor WWTP
3049,54001017001,1094775,WV,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
2210,54001592002,1094835,WV,Wastewater,Secondary treatment,"Reactor, Sequencing Batch (SBR)",Y,,Sequencing Batch Reactor
2209,54001592002,1094835,WV,Wastewater,Preliminary treatment,Screening,Y,,
2211,54001592002,1094835,WV,Wastewater,Disinfection,"Disinfection, UV",Y,,
1877,29001237054,463153,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1876,29001237054,463153,MO,Wastewater,Secondary treatment,"Activated Sludge, Extended Aeration",Y,,Extended aeration
3267,04001903003,1069551,AZ,Wastewater,Disinfection,"Disinfection, UV",Y,,
4162,12000700055,3500467,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
4171,12000700064,3500481,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
549,29001019009,3522576,MO,Wastewater,Preliminary treatment,Screening,Y,,
550,29001019009,3522576,MO,Wastewater,Secondary treatment,"Activated Sludge, Conventional",Y,,aeration basin
551,29001019009,3522576,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1337,29002464001,1233260,MO,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,Oxidation ditch
1338,29002464001,1233260,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1339,29002464001,1233260,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
3134,29002464001,1233260,MO,Wastewater,Nutrient Removal and additional treatment,Filtration,,Y,
1087,29001083001,1133364,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1086,29001083001,1133364,MO,Wastewater,Preliminary treatment,Screening,Y,,
1088,29001083001,1133364,MO,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,oxidation ditch
1089,29001083001,1133364,MO,Wastewater,Solids handling,Biosolids Drying,Y,,Evaporative sludge drying
1002,29002452001,1133847,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
3903,29002452001,1133847,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
1097,29004058001,1134075,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
1610,29004059101,1134077,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1608,29004059101,1134077,MO,Wastewater,Preliminary treatment,Screening,Y,,septic tank
1609,29004059101,1134077,MO,Wastewater,Secondary treatment,"Attached Growth, Aerobic",Y,,recirculating sand filter
3027,29004059101,1134077,MO,Wastewater,Nutrient Removal and additional treatment,Chemical P Removal,Y,,
4462,23000107001,1142546,ME,Wastewater,Preliminary treatment,Screening,Y,,
4464,23000107001,1142546,ME,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
