2022_UNIT_PROCESS_NAME,FINAL_UNIT_PROCESS_NAME,WERF CODE
"Activated Sludge, Anaerobic/Anoxic","Activated Sludge, Anaerobic/Anoxic",AS
,"Activated Sludge, Anaerobic/Anoxic/Oxic",AS-A2O
,"Activated Sludge, Complete Mix",AS
"Activated Sludge, Contact Stabilization","Activated Sludge, Contact Stabilization",AS
"Activated Sludge, Conventional","Activated Sludge, Conventional",AS
"Activated Sludge, Extended Aeration","Activated Sludge, Extended Aeration",AS-EA
,"Activated Sludge, High Rate",AS
,"Activated Sludge, Other Mode",AS
,"Activated Sludge, Pure Oxygen",AS-PUREO
,"Activated Sludge, Step Aeration",AS-SA
,"Activated Sludge, With Biological Denitrification",AS-BDENIT
,"Activated Sludge, with Phosphorus Removal",AS-P
Aerobic membrane bioreactor,Aerobic membrane bioreactor,MBR
,Biological Denitrification,BDENIT
,"Biological Denitrification, (Separate Stage)",BDENIT
,Biological Nitrification - Separate Stage,BNIT
Biological N removal,Biological Nutrient Removal,BNR
Biological Nutrient Removal (BNR) Membrane Bio-Reactor (MBR),Biological Nutrient Removal (BNR) Membrane Bio-Reactor (MBR),MBR-BNR
"Biosolids Aerobic Digestion, Air","Biosolids Aerobic Digestion, Air",AED
,"Biosolids Aerobic Digestion, Autothermal Thermophilic",AED
,"Biosolids Aerobic Digestion, Autothermal Thermophilic Oxygen",AED
"Biosolids Aerobic Digestion, Oxygen","Biosolids Aerobic Digestion, Oxygen",AED
Biosolids Aerobic Digestion,"Biosolids Aerobic Digestion, Oxygen",AED
,"Biosolids Anaerobic Digestion, Mesophilic",AND
"Sludge Blanket, Anaerobic","Biosolids Anaerobic Digestion, Other",AND
"Biosolids Anaerobic Digestion, Other","Biosolids Anaerobic Digestion, Other",AND
Biosolids Anaerobic Digestion without Energy Recovery,"Biosolids Anaerobic Digestion, Other",AND
Biosolids Anaerobic Digestion with Energy Recovery,"Biosolids Anaerobic Digestion, Thermophilic",AND
,Biosolids Co-Incineration With Solid Waste,FBI
Biosolids Anaerobic Digestion with Energy Recovery,Biosolids Digestor Gas Utilization Facilities,BIOGAS_CWNS
,Biosolids Heat Drying,BIODRY
Biosolids Incineration,Biosolids Incineration (Other),FBI
,"Biosolids Incineration, Fluidized Bed",FBI
,"Biosolids Incineration, Multiple Hearth",MHI
,Biosolids Lagoon,BS_LAGOON
Lime stabilization,Biosolids Lime Stabilization,LIME
,Biosolids Mechanical Dewatering (Centrifuge),DEWATER
,Biosolids Mechanical Dewatering (Filter Press),DEWATER
,Biosolids Mechanical Dewatering (Other),DEWATER
,Biosolids Mechanical Dewatering (Pressure Filter),DEWATER
,Biosolids Mechanical Dewatering (Vacuum Filter),DEWATER
Biosolids Mechanical Dewatering,Biosolids Other Dewatering,DEWATER
"Chemical Addition, Alum","Chemical Addition (Alum), Primary",PRIMARY
"Chemical Addition, Ferric Chloride","Chemical Addition (Ferric Chloride), Primary",PRIMARY
,"Chemical Addition (Other), Primary",PRIMARY
Constructed Wetland,Constructed Wetlands,CONWTLND
Constructed wetlands,Constructed Wetlands (Resource Extraction),CONWTLND
,Dewatering assc. w/Grit Removal,DEWATER
,Disinfection Hypochlorite Bisulfite,DISINF
,"Disinfection, Breakpoint Chlorination",DISINF
"Disinfection, chlorine/ chloramine","Disinfection, Chlorination",DISINF
,"Disinfection, Gaseous Chloride",DISINF
,"Disinfection, Liquid Chloride",DISINF
,"Disinfection, Other",DISINF
"Disinfection, other chemical","Disinfection, Other Chemical",DISINF
"Disinfection, ozone","Disinfection, Ozonation",DISINF-O3
"Disinfection, Chemical","Disinfection, Sodium Hypochlorite",DISINF
"Disinfection, UV","Disinfection, Ultraviolet",DISINF-UV
,"Disinfection, UV Radiation",DISINF-UV
,"Filter, Anaerobic",ANAERTRT
"Lagoon, Aerobic","Lagoon, Aerated",LAGOON_AER
"Lagoon, Anaerobic","Lagoon, Anaerobic",LAGOON_ANAER
"Lagoon, Facultative","Lagoon, Facultative",LAGOON_FAC
"Lagoon, Other","Lagoon, Other",LAGOON
Lagoon,"Lagoon, Other",LAGOON
"Lagoon, Aerated","Lagoon, Aerated",LAGOON_AER
