NPDES No.,Facility Name,GT_Count,NPDES_TP,NPDES_FP,NPDES_FN,NPDES_Precision,NPDES_Recall,NPDES_F1,NPDES_Missed,NPDES_Extra,CWNS_TP,CWNS_FP,CWNS_FN,CWNS_Precision,CWNS_Recall,CWNS_F1,CWNS_Missed,CWNS_Extra
CA0037966,Calistoga City Dunaweal WWTP,10,10,0,0,1.0,1.0,1.0,,,4,6,6,0.4,0.4,0.4000000000000001,Dechlorination|Equalization|Polymer Addition|Screening/Microstrainer|Secondary Clarification|Secondary Filtration,Alum Addition|Anaerobic Digestion|Comminution|Primary Clarification|Stabilization Pond|Unspecified Dewatering
CA0023574,Covelo POTW,9,9,0,0,1.0,1.0,1.0,,,2,2,7,0.5,0.2222222222222222,0.30769230769230765,Aerated Lagoon|Comminution|Dechlorination|Grit Removal|Ozonation|Unspecified AS|Wetland,Stabilization Pond|Trickling Filter
CA0037702,EBMUD WPCP,14,12,1,2,0.9230769230769231,0.8571428571428571,0.888888888888889,Chlorination|Heat Recovery,Unspecified Disinfection,7,3,7,0.7,0.5,0.5833333333333334,Cogeneration|Comminution|Dechlorination|Equalization|Heat Recovery|Secondary Clarification|Thickening,Aerobic Digestion|Trickling Filter|Unspecified AS
CA0025135,Healdsburg City WWTP,15,14,0,1,1.0,0.9333333333333333,0.9655172413793104,Aerated Lagoon,,3,2,12,0.6,0.2,0.3,AO|Aerobic Digestion|Centrifuge|Equalization|Grit Removal|Mechanical Dewatering|Membrane Bioreactor|Polymer Addition|Screening/Microstrainer|Thickening|UV Disinfection|Unspecified AS,Chlorination|Stabilization Pond
CA0079651,Linda Cnty Water District WWTP,13,10,1,3,0.9090909090909091,0.7692307692307693,0.8333333333333333,AO|Equalization|Screening/Microstrainer,Unspecified Nutrient Removal,4,0,9,1.0,0.3076923076923077,0.47058823529411764,AO|Chlorination|Dechlorination|Equalization|Facultative Lagoon|Media Filtration|Primary Clarification|Secondary Clarification|Thickening,
CA0081558,City of Manteca WW Quality Control Facility,15,14,0,1,1.0,0.9333333333333333,0.9655172413793104,Microfiltration,,8,3,7,0.7272727272727273,0.5333333333333333,0.6153846153846153,Centrifuge|Flocculation|Mechanical Dewatering|Media Filtration|Microfiltration|UV Disinfection|Unspecified Nutrient Removal,Chlorination|Stabilization Pond|Trickling Filter
CA0037427,Marin CSD 5 Paradise Cove WWTP,8,8,0,0,1.0,1.0,1.0,,,0,1,8,0.0,0.0,0.0,Chlorination|Comminution|Dechlorination|Equalization|Extended Aeration|Primary Clarification|Screening/Microstrainer|Secondary Clarification,Unspecified AS
CA0047899,Montecito SD WWTP,13,10,0,3,1.0,0.7692307692307693,0.8695652173913044,Drying|Extended Aeration|Polymer Addition,,6,0,7,1.0,0.46153846153846156,0.631578947368421,Chlorination|Dechlorination|Flotation|Mechanical Dewatering|Polymer Addition|Secondary Clarification|Thickening,
CA0079235,Sewerage Commission Oroville Region WWTP,13,9,1,4,0.9,0.6923076923076923,0.7826086956521738,Chlorination|Comminution|Equalization|Stabilization Pond,Unspecified Disinfection,7,1,6,0.875,0.5384615384615384,0.6666666666666667,Chlorination|Dechlorination|Equalization|Grit Removal|Secondary Clarification|Unspecified Filtration,Trickling Filter
CA0037842,San Jose/Santa Clara WPCP,16,15,0,1,1.0,0.9375,0.967741935483871,Centrifuge,,8,3,8,0.7272727272727273,0.5,0.5925925925925926,Dechlorination|Equalization|Flocculation|Four Stage Bardenpho|Media Filtration|Secondary Clarification|Stabilization Pond|Thickening,Biologically Active Filtration|Comminution|Unspecified Filtration
CA0038369,SVCW WWTP,15,13,0,2,1.0,0.8666666666666667,0.9285714285714286,Comminution|Grit Removal,,10,2,5,0.8333333333333334,0.6666666666666666,0.7407407407407408,Cogeneration|Drying|Equalization|Grit Removal|Heat Recovery,Chlorination|Flotation
CA0107417,SMWD - Chiquita WRP,15,12,1,3,0.9230769230769231,0.8,0.8571428571428571,Anaerobic Digestion|Cogeneration|Comminution,Unspecified Digestion,0,0,15,0.0,0.0,0.0,Anaerobic Digestion|Biologically Active Filtration|Chlorination|Cogeneration|Comminution|Equalization|Grit Removal|Mechanical Dewatering|Media Filtration|Primary Clarification|Screening/Microstrainer|Secondary Clarification|Thickening|Trickling Filter|Unspecified AS,
CA0054313,Saugus Water Reclamation Plant,16,13,0,3,1.0,0.8125,0.896551724137931,Comminution|Grit Removal|Polymer Addition,,7,2,9,0.7777777777777778,0.4375,0.56,Dechlorination|Flotation|Mechanical Dewatering|Media Filtration|Polymer Addition|Screening/Microstrainer|Thickening|UV Disinfection|Unspecified Nutrient Removal,Drying|Trickling Filter
CA0048216,Watsonville WWTP,12,10,0,2,1.0,0.8333333333333334,0.9090909090909091,Heat Recovery|Mechanical Dewatering,,8,3,4,0.7272727272727273,0.6666666666666666,0.6956521739130435,Coagulation|Cogeneration|Heat Recovery|Media Filtration,Chlorination|Comminution|Thickening
CA0110604,OCSD Plant 1,18,16,0,2,1.0,0.8888888888888888,0.9411764705882353,Flotation|Secondary Clarification,,10,2,8,0.8333333333333334,0.5555555555555556,0.6666666666666667,Centrifuge|Cogeneration|Dechlorination|Ferric Chloride Addition|Neutralization|UV Disinfection|Unspecified AS|Unspecified Nutrient Removal,Equalization|Unspecified Filtration
