Agency,Facility Name,Place ID,NPDES No.,PDF_File,Ground Truth Sources,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Comminution,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified Nutrient Removal,Chemical N Removal,Chemical P Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Stabilization Pond,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
Manteca City,City of Manteca WW Quality Control Facility,239343,CA0081558,r5-2021-0003_npdes.pdf,https://www.manteca.gov/home/showpublisheddocument/5802/638234567308370000 https://www.energy.ca.gov/sites/default/files/2021-05/CEC-500-2020-026.pdf,PRESENT,PRESENT,,,PRESENT,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,PAST,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,PRESENT,PRESENT,,,PRESENT,,,,,,
UC Davis,UC Davis Main WWTP,268926,CA0077895,r5-2021-0007_npdes.pdf,https://www.youtube.com/watch?v=x4sNAimoNx0& https://scwa2.com/wp-content/uploads/2025/06/Revised-Initial-Study-Wastewater-Treatment-Plant-Replacement-Project-UC-Davis-1996-ID-353008.pdf,,PRESENT,,,PRESENT,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,PRESENT,,PRESENT,,,,,,
Linda Cnty Water District,Linda Cnty Water District WWTP,237060,CA0079651,r5-2022-0070_npdes.pdf,https://www.energy.ca.gov/sites/default/files/2021-05/CEC-500-2020-026.pdf,PRESENT,PRESENT,,,PRESENT,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,PRESENT,,,,,PRESENT,,,PRESENT,,,PRESENT,,,,,,,
Marin Cnty Sanitary District 5,Marin CSD 5 Paradise Cove WWTP,239498,CA0037427,Paradise Cove - R2-2021-0017.pdf,https://www.sani5.org/paradise-cove-wastewater-treatment-plant https://streamline.imgix.net/fe89d3af-eb4f-4617-a93c-f8ebbd867d60/b29b5bb5-d3e2-46f7-9646-7166b76f9170/PcoveFlow.pdf?ixlib=rb-1.1.0&w=2000&h=2000&fit=max&or=180&s=190f891ada8d51878808f991d8a8b8c7,PRESENT,PRESENT,,,PRESENT, ,PRESENT,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose City,San Jose/Santa Clara WPCP,255333,CA0037842,CA0037842 SJ-SC Order R2-2020-0001.pdf,https://www.sanjoseca.gov/your-government/departments-offices/environmental-services/water-utilities/regional-wastewater-facility/treatment-process,PRESENT,PRESENT,,,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,PRESENT (anox-aero-anox-aeor),,,,,,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,PRESENT,,,,,PRESENT,,,PRESENT,,PRESENT,,PRESENT,,,,,,
Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,212750,CA0037966,R2-2022-0010.pdf,https://www.calistogaca.gov/Services/Public-Works/Water-and-Wastewater-Treatment,,PRESENT,,,PRESENT,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,OFFSITE,,,,,PRESENT,,,,,,,,,,,,,
Covelo CSD,Covelo POTW,215966,CA0023574,23_0006_covelo_csd_06.20.2023_eosigned.pdf,https://www.northcoastresourcepartnershipprojects.org/Project/FactSheet/14152,,,,,PRESENT,,,,,,,,,,,,,PRESENT (oxidation ponds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT (backup),PRESENT (backup),,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healdsburg City,Healdsburg City WWTP,229922,CA0025135,22_0017_Healdsburg_WWTF_NPDES.pdf,https://ci.healdsburg.ca.us/DocumentCenter/View/1039/New-State-of-the-Art-Facility-PDF?bidId=,,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,PRESENT,PRESENT,,PRESENT,PRESENT,,,,PRESENT,,,,PRESENT,,,,,,
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,257518,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,https://www.smwd.com/DocumentCenter/View/4454/FY-20232024-Capital-Budget https://19january2017snapshot.epa.gov/www3/region9/waterinfrastructure/features/chiquita.html https://smwd.com/DocumentCenter/View/2763/Sec-Clar-Cat-X,PRESENT,PRESENT,,,PRESENT,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,,,,,PRESENT,
Sewerage Commission Oroville Region,Sewerage Commission Oroville Region WWTP,246251,CA0079235,r5-2021-0044_npdes.pdf,https://www.scorca.gov/files/b6cae164e/1-2022-0531+Draft++IS-MNDclean.pdf,PRESENT,PRESENT,,,PRESENT,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,PRESENT,,,,,,,,
