"CWNS_ID","FACILITY_ID","STATE_CODE","PERMIT_NUMBER","PERMIT_SOURCE","PERMIT_TYPE"
"26003043001",1088853,MI,MI0020664,NPDES,Individual Permit
"29004035001",1134057,MO,MO0111716,NPDES,Individual Permit
"29004036001",1134059,MO,MO0028746,NPDES,Individual Permit
"21000208001",1139639,KY,KY0023868,NPDES,Individual Permit
"21009701001",1139892,KY,KY0105856,NPDES,Individual Permit
"23000103001",1142542,ME,ME0101966,NPDES,Individual Permit
"44000020001",1144302,RI,RI0100382,Non-NPDES,Permit not found in NPDES lookup
"31001701001",1145981,NE,NE0046329,NPDES,Individual Permit
"31001892001",1146013,NE,NE0129488,NPDES,Individual Permit
"31002590001",1146079,NE,NE0033111,NPDES,Individual Permit
"31002670001",1146086,NE,NE0040088,NPDES,Individual Permit
"27000028001",1147921,MN,MN0030171,NPDES,Individual Permit
"27000226001",1148087,MN,MN0020346,Non-NPDES,Permit not found in NPDES lookup
"27001907001",1148247,MN,MN0021652,NPDES,Individual Permit
"27009805001",1148579,MN,MN0021989,Non-NPDES,Permit not found in NPDES lookup
"38000009001",1151264,ND,ND0022616,NPDES,Individual Permit
"37000403001",1153103,NC,NC0081825,NPDES,Individual Permit
"37002002001",1153247,NC,NC0020940,NPDES,Individual Permit
"37003505001",1153358,NC,NC0020231,NPDES,Individual Permit
"37005601001",1153488,NC,NC0031879,NPDES,Individual Permit
"37006302001",1153535,NC,NC0062855,NPDES,Individual Permit
"37006701001",1153572,NC,WQ0009267,Non-NPDES,Land Application
"37006708001",1153578,NC,NC0023230,NPDES,Individual Permit
"37007701002",1153629,NC,NC0047562,NPDES,Individual Permit
"37009802001",1153811,NC,WQ0003405,Non-NPDES,Land Application
"30000112001",1159166,MT,MTG580002,NPDES,General Permit Covered Facility
"28000260002",1160243,MS,MS0044164,NPDES,Individual Permit
"41000040001",1164303,OR,OR0020613,NPDES,Individual Permit
"41000055002",1164318,OR,OR0023582,NPDES,Individual Permit
"41000111001",1164364,OR,OR0020231,NPDES,Individual Permit
"47000315001",1166021,TN,TN0020982,NPDES,Individual Permit
"47000415001",1166040,TN,TN0021563,NPDES,Individual Permit
"47001225001",1166183,TN,TN0062227,NPDES,Individual Permit
"22000010001",1168165,LA,LA0032352,NPDES,Individual Permit
"22003104001",1168364,LA,LA0087742,NPDES,Individual Permit
"40000123014",1172542,OK,OK0027553,NPDES,Individual Permit
"40000195001",1172579,OK,OK0031585,NPDES,Individual Permit
"06002060007",1175319,CA,R2-86-86 ,Non-NPDES,State
"06005077001",1175595,CA,CA0078948,NPDES,Individual Permit
"06005226001",1175717,CA,CA0081485,NPDES,Individual Permit
"06006009001",1175862,CA,CA0102822,NPDES,Individual Permit
"53000520001",1180805,WA,WA0022691,NPDES,Individual Permit
"53002495001",1181075,WA,WA0044920,NPDES,Individual Permit
"53002555001",1181085,WA,WA0030589,NPDES,Individual Permit
"48001131003",1182937,TX,TX0023639,NPDES,Individual Permit
"48001203005",1182979,TX,TX0047066,NPDES,Individual Permit
"48001533001",1183098,TX,TX0119024,NPDES,Individual Permit
"48003061001",1183219,TX,TX0024031,NPDES,Individual Permit
"48003100002",1183248,TX,TX0053678,NPDES,Individual Permit
"48003125001",1183269,TX,TX0053520,NPDES,Individual Permit
"48004014001",1183330,TX,TX0026514,Non-NPDES,Permit not found in NPDES lookup
"48004031002",1183352,TX,TX0024686,NPDES,Individual Permit
"48004099001",1183406,TX,TX0024929,NPDES,Individual Permit
"48004142001",1183452,TX,TX0022357,NPDES,Individual Permit
"48006011001",1183683,TX,TX0054178,NPDES,Individual Permit
"48007040002",1183859,TX,TX0034401,NPDES,Individual Permit
"48007071001",1183898,TX,TX0021458,NPDES,Individual Permit
"04001506001",1069527,AZ,AZ0022489,NPDES,Individual Permit
"09001040001",1071898,CT,CT0100412,NPDES,Individual Permit
"34001185001",1073352,NJ,NJ0117846,NPDES,Individual Permit
"34001253001",1073385,NJ,NJ0026867,NPDES,Individual Permit
"34002391001",1073564,NJ,NJ0022675,NPDES,Individual Permit
"12000005001",1078123,FL,FL0027251,NPDES,Individual Permit
"12000092002",1078223,FL,FL0021105,NPDES,Individual Permit
"12000093004",1078226,FL,FL0041122,NPDES,Individual Permit
"12000115001",1078260,FL,FLA014313,Non-NPDES,State - Land Application
"12000118001",1078266,FL,FLA010115,Non-NPDES,Permit not found in NPDES lookup
"12000253001",1078387,FL,FL0038555,NPDES,Individual Permit
"39000072001",1080497,OH,OH0041165,NPDES,Individual Permit
"39000096001",1080520,OH,OH0101834,NPDES,Individual Permit
"39000181001",1080603,OH,OH0102857,NPDES,Individual Permit
"39000193001",1080615,OH,OH0021377,NPDES,Individual Permit
"39000207001",1080631,OH,OH0028827,NPDES,Individual Permit
"39000253001",1080670,OH,OH0036641,NPDES,Individual Permit
"39000630001",1080828,OH,OH0049999,NPDES,Individual Permit
"39000651001",1080837,OH,OH0020621,NPDES,Individual Permit
"39001134001",1080868,OH,OH0052922,NPDES,Individual Permit
"39003369004",1081111,OH,OH0025488,NPDES,Individual Permit
"39006566001",1081461,OH,OH0021075,NPDES,Individual Permit
"39007868001",1081566,OH,OH0027472,NPDES,Individual Permit
"26000009001",1088323,MI,MI0056260,NPDES,Individual Permit
"26000446001",1088507,MI,MI0020460,NPDES,Individual Permit
"26000483001",1088546,MI,MI0024252,NPDES,Individual Permit
"26003044001",1088854,MI,MI0027669,NPDES,Individual Permit
"26003062001",1088871,MI,MI0021555,NPDES,Individual Permit
"26003095001",1088893,MI,MI0021067,NPDES,Individual Permit
"26003099001",1088896,MI,MIG580400,NPDES,Individual Permit
"50000016001",1094065,VT,VT0100153,NPDES,Individual Permit
"50000063001",1094114,VT,VT0100323,NPDES,Individual Permit
"54002010001",1094900,WV,WV0021750,NPDES,Individual Permit
"54002043001",1094916,WV,WV0020265,NPDES,Individual Permit
"54005103001",1095289,WV,WV0037397,NPDES,Individual Permit
"33000162001",1101007,NH,NH0101168,NPDES,Individual Permit
"01000079001",1101910,AL,AL0054674,NPDES,Individual Permit
"01000140002",1101975,AL,AL0055204,NPDES,Individual Permit
"01000196001",1102024,AL,AL0022209,NPDES,Individual Permit
"02000117001",1104798,AK,AK0021431,NPDES,Individual Permit
"02000300001",1104817,AK,AK0025402,NPDES,Individual Permit
"05000001001",1104846,AR,AR0040177,NPDES,Individual Permit
"05000070001",1104908,AR,AR0043761,NPDES,Individual Permit
"05000110002",1104944,AR,AR0043753,NPDES,Individual Permit
