"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"48002062001",1183143,TX,Wastewater,Rule WWTP,,Public,N,,N,FA,Partial,2023-05-03,
"48005041001",1183597,TX,Wastewater,Avery WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"48005098001",1183647,TX,Wastewater,Talco WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"48006015002",1183687,TX,Wastewater,Bancroft CS - Jackson Street WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"48007005001",1183774,TX,Wastewater,Terranova West CS - Bammel WWTP,,Public,N,,N,FA,Partial,2023-05-16,Y
"48007020002",1183792,TX,Wastewater,Richmond Regional WWTP,,Public,N,,N,FA,Partial,2023-05-15,Y
"48007088001",1183911,TX,Wastewater,Sheldon Woods WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"48007211001",1184004,TX,Wastewater,MUD #191 WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"48007652001",1184196,TX,Wastewater,Enchanted Valley WWTP,,Public,N,,N,FA,Partial,2023-05-15,Y
"48007679001",1184209,TX,Wastewater,Louetta Road CS - Bammel WWTP,,Public,N,,N,FA,Partial,2023-05-15,Y
"48007877001",1184325,TX,Wastewater,Sableridge CS - Northchase WWTP,,Public,N,,N,FA,Partial,2023-05-16,Y
"48008203001",1184463,TX,Wastewater,Falls WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"51000319001",1192955,VA,Wastewater,ARLINGTON CO WPCP,,Public,N,,N,FA,Partial,2023-06-02,Y
"34007028021",466977,NJ,Nonpoint Source,Edgewater Park Township - NPS,,Public,N,,N,FA,Partial,2023-05-03,
"42004081002",1196300,PA,Wastewater,ALTOONA WESTERLY STP,,Public,N,,N,FA,Full,2023-05-03,
"55000708002",1206103,WI,Wastewater,BROOKFIELD CS (MMSD),,Public,N,,N,FA,Partial,2023-05-03,Y
"55001770001",1206251,WI,Wastewater,FOUNTAIN CITY WWTP,,Public,N,,Y,FA,Partial,2023-05-03,Y
"55002440001",1206321,WI,Wastewater,KIMBERLY - CS,,Public,N,,Y,FA,Partial,2023-03-01,
"55004370001",1206629,WI,Wastewater,SHIOCTON WWTP,,Public,N,,Y,FA,Partial,2023-06-01,Y
"55005160001",1206718,WI,Wastewater,WEST ALLIS - CS,,Public,N,,N,FA,Partial,2023-05-03,
"34004001003",1073693,NJ,Wastewater,Hamilton Township (Atlantic) - CS,,Public,N,,N,FA,Partial,2023-05-03,
"34006094001",1073802,NJ,Wastewater,Runnemede Borough SA - CS,,Public,N,,N,FA,Audit,2023-05-17,
"34006261001",1073829,NJ,Wastewater,Lawnside Borough - CS,,Public,N,,N,FA,Partial,2023-05-03,Y
"12000170001",1078335,FL,Wastewater,Crescent City WWTF,,Public,N,,N,FA,Partial,2023-03-01,Y
"39000025001",1080447,OH,Wastewater,Hamersville Sewer System,,Public,N,,Y,FA,Partial,2023-05-03,Y
"39000160001",1080585,OH,Wastewater,East Palestine WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-03,Y
"39000279001",1080694,OH,Wastewater,Sycamore WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-03,
"39000350001",1080760,OH,Wastewater,Woodville WWTP & Sewer System,,Public,N,,Y,FA,Partial,2022-12-01,
"39000973001",1080852,OH,Wastewater,Bradford WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-16,Y
"39001199003",1080873,OH,Wastewater,Butler Co LeSourdsville WWTP,,Public,N,,N,FA,Partial,2023-05-03,Y
"39001421001",1080908,OH,Wastewater,Catawba WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-16,Y
"39004200001",1081154,OH,Wastewater,LaGrange WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-03,
"39005880001",1081325,OH,Wastewater,New Philadelphia WWTP & Sewers,,Public,N,,N,FA,Partial,2023-05-11,Y
"39006776001",1081488,OH,Wastewater,Port Clinton WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-03,
"39008225001",1081610,OH,Wastewater,Tiltonsville WWTP & Sewer System,,Public,N,,Y,FA,Partial,2023-05-16,Y
"39008729001",1081663,OH,Wastewater,Stark Co Waynesburg Sewers,,Public,N,,N,FA,Partial,2023-05-12,Y
"39009600001",1081728,OH,Wastewater,Holmesville WWTP & Sewers,,Public,N,,Y,FA,Partial,2023-05-16,Y
"26000523001",1088575,MI,Wastewater,STERLING HEIGHTS CS,,Public,N,,N,FA,Partial,2023-05-16,Y
"26002000001",1088688,MI,Wastewater,ALPENA WWTS,,Public,N,,N,FA,Partial,2023-05-16,Y
"26003036001",1088849,MI,Wastewater,BELLAIRE STP,,Public,N,,N,FA,Partial,2023-05-16,Y
"26003087001",1088889,MI,Wastewater,MUNISING STP,,Public,N,,N,FA,Partial,2023-05-16,Y
"54002403001",1094967,WV,Wastewater,COLFAX PSD,,Public,N,,Y,FA,Partial,2023-05-03,Y
"54002620001",1095003,WV,Wastewater,MASON CO PSD - LAKIN WWTP,,Public,N,,Y,FA,Partial,2023-05-03,Y
"54002906001",1095045,WV,Wastewater,WILLIAMSON WWTP,,Public,N,,Y,FA,Partial,2023-05-03,
"54005405001",1095317,WV,Wastewater,PARKERSBURG WWTP,,Public,N,,N,FA,Partial,2023-05-03,
"54005507001",1095341,WV,Wastewater,OCEANA WWTP,,Public,N,,Y,FA,Partial,2022-08-29,
"33000098001",1100986,NH,Wastewater,Sunapee WWTF,,Public,N,,Y,FA,Partial,2022-12-01,
"01000038001",1101867,AL,Wastewater,South Alabama Utilities-Citronelle WWTP,,Public,N,,N,FA,Partial,2022-08-29,Y
