facility_name,txt_file,extraction_file,completion_token,prompt_token,total_token,reasoning_token
Los Coyotes WRP,5059_R4-2021-0142_WDR_PKG (signed).txt,5059_R4-2021-0142_WDR_PKG (signed)_Los_Coyotes_WRP.json,5064,9112,14176,3904
Long Beach WRP,5662_R4-2022-0032_WDR_PKG.txt,5662_R4-2022-0032_WDR_PKG_Long_Beach_WRP.json,5175,9590,14765,3968
Las Gallinas WWTP,R2-2020-0022.txt,R2-2020-0022_Las_Gallinas_WWTP.json,7689,12670,20359,5376
Live Oak City WWTP,R5-2017-0085-018.txt,R5-2017-0085-018_Live_Oak_City_WWTP.json,465,7963,8428,448
City of Livermore Water Reclamation Plant,City of Livermore - R2-2022-2025.txt,City of Livermore - R2-2022-2025_City_of_Livermore_Water_Reclamation_Plant.json,5173,9426,14599,3712
White Slough Water Pollution Control Facility,R5-2023-0025-010.txt,R5-2023-0025-010_White_Slough_Water_Pollution_Control_Facility.json,4661,7252,11913,3328
Donald C. Tillman WWRP,Adopted DCTWRP NPDES CI-5695_01242023.txt,Adopted DCTWRP NPDES CI-5695_01242023_Donald_C_Tillman_WWRP.json,5965,14009,19974,3840
Terminal Island Water Reclamation Plant,TIWRP Adopted Permit 06102021_signed.txt,TIWRP Adopted Permit 06102021_signed_Terminal_Island_Water_Reclamation_Plant.json,7388,11001,18389,5056
Los Angeles-Glendale WWRP,Final LAG NPDES permit_CI 5675 Final_Signed.txt,Final LAG NPDES permit_CI 5675 Final_Signed_Los_Angeles_Glendale_WWRP.json,6197,10056,16253,4352
Malibu Mesa WRP,6599_R4-2021-0062_WDR.txt,6599_R4-2021-0062_WDR_Malibu_Mesa_WRP.json,4844,9448,14292,3328
Valencia WRP,4993_R4-2022-0174_WDR_PKG.txt,4993_R4-2022-0174_WDR_PKG_Valencia_WRP.json,7072,10251,17323,5312
Saugus Water Reclamation Plant,2960_R4-2022-0175_WDR_PKG.txt,2960_R4-2022-0175_WDR_PKG_Saugus_Water_Reclamation_Plant.json,6623,10280,16903,4544
Mariposa WWTP,r5-2017-0085-017.txt,r5-2017-0085-017_Mariposa_WWTP.json,5401,6877,12278,4224
Merced WWTF,r5-2026-0005_npdes.txt,r5-2026-0005_npdes_Merced_WWTF.json,6721,10073,16794,3648
Millbrae WPCP,R2-2024-0005 (Millbrae NPDES Permit).txt,R2-2024-0005 (Millbrae NPDES Permit)_Millbrae_WPCP.json,5376,9925,15301,3648
Mountain House WWTP,r5-2023-0033-01_npdes.txt,r5-2023-0033-01_npdes_Mountain_House_WWTP.json,6128,9596,15724,4544
Mountain House WWTP,r5-2023-0033_npdes.txt,r5-2023-0033_npdes_Mountain_House_WWTP.json,6457,9573,16030,4160
Mountain House WWTP,r5-2023-0033_npdes_mod.txt,r5-2023-0033_npdes_mod_Mountain_House_WWTP.json,6812,9737,16549,4544
Cascade Shores WWTP,r5-2017-0085-015.txt,r5-2017-0085-015_Cascade_Shores_WWTP.json,5169,6789,11958,3968
Lake Wildwood WWTP,nvcosd1_wildwood_wwtp_final_noa.txt,nvcosd1_wildwood_wwtp_final_noa_Lake_Wildwood_WWTP.json,145,6766,6911,128
Niland SD WWTP,R7-2025-0017.txt,R7-2025-0017_Niland_SD_WWTP.json,4816,8976,13792,3584
Novato and Ignacio WWTP,R2-2020-0019.txt,R2-2020-0019_Novato_and_Ignacio_WWTP.json,4823,10251,15074,3328
Ojai Valley WWTP,Adopted Order Ojai NPDES CI 4245 12212023_ADAchecked.txt,Adopted Order Ojai NPDES CI 4245 12212023_ADAchecked_Ojai_Valley_WWTP.json,7626,11688,19314,5376
Oxnard WWTP,Adopted OWRRF NPDES CI-2022 06172024 signed.txt,Adopted OWRRF NPDES CI-2022 06172024 signed_Oxnard_WWTP.json,9877,12267,22144,7232
Petaluma Ellis Creek Water Recycling Facility (NPDES Permit),Order R2-2021-0008 (1).txt,Order R2-2021-0008 (1)_Petaluma_Ellis_Creek_Water_Recycling_Facility_NPDES_Permit.json,6984,9490,16474,4800
Hangtown Creek WRF,r5-2017-0085-007.txt,r5-2017-0085-007_Hangtown_Creek_WRF.json,5943,6835,12778,4608
Portola WWTP,r5-2024-0023_npdes.txt,r5-2024-0023_npdes_Portola_WWTP.json,5274,9453,14727,4032
Rialto WWRF,14-0010_Rialto_City_of_Renewal_WDR_MWWTP.txt,14-0010_Rialto_City_of_Renewal_WDR_MWWTP_Rialto_WWRF.json,6188,8132,14320,4544
Richmond WPCP,R2-2024-0008 West County.txt,R2-2024-0008 West County_Richmond_WPCP.json,7106,12007,19113,5568
Riverside City WWRF,13-0016_Riverside_City_of_Dept_of_Public_Works.txt,13-0016_Riverside_City_of_Dept_of_Public_Works_Riverside_City_WWRF.json,5823,7805,13628,4096
Dry Creek WWTP,roseville_drycreek_wwtp_mgo_noa_final.txt,roseville_drycreek_wwtp_mgo_noa_final_Dry_Creek_WWTP.json,5397,7389,12786,3840
SAM WWTP (Sewer Authority Mid-Coastside WWTP),CA0038598 SAM Order R2-2023-0002.txt,CA0038598 SAM Order R2-2023-0002_SAM_WWTP_Sewer_Authority_Mid_Coastside_WWTP.json,5775,9443,15218,3904
EchoWater Resource Recovery Facility,r5-2021-0019-01_npdes.txt,r5-2021-0019-01_npdes_EchoWater_Resource_Recovery_Facility.json,3345,8772,12117,2624
EchoWater Resource Recovery Facility,r5-2021-0019-02.txt,r5-2021-0019-02_EchoWater_Resource_Recovery_Facility.json,3129,8765,11894,2560
EchoWater Resource Recovery Facility,r5-2021-0019_npdes.txt,r5-2021-0019_npdes_EchoWater_Resource_Recovery_Facility.json,8528,12767,21295,6080
City of San Diego North City Pure Water Facility,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.txt,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20_City_of_San_Diego_North_City_Pure_Water_Facility.json,6035,9037,15072,4352
North City WRP,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.txt,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20_North_City_WRP.json,7973,9017,16990,5184
"San Leandro, City of",R2-2022-0006.txt,R2-2022-0006_San_Leandro_City_of.json,6243,8352,14595,4096
San Leandro WPCP,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_San_Leandro_WPCP.json,5186,14242,19428,3648
Scotts Valley WWTP,Scotts Valley WWTP NPDES Permit R3-2013-0001.txt,Scotts Valley WWTP NPDES Permit R3-2013-0001_Scotts_Valley_WWTP.json,4252,8115,12367,3264
Sonoma Valley County SD WWTP,Final Order Sonoma_NPDES permit_Dec 2024.txt,Final Order Sonoma_NPDES permit_Dec 2024_Sonoma_Valley_County_SD_WWTP.json,6510,10674,17184,4800
Sonoma Valley County SD WWTP,Final Order Sonoma_NPDES permit_Dec 2024.txt,Final Order Sonoma_NPDES permit_Dec 2024_Sonoma_Valley_County_SD_WWTP.json,6510,10674,17184,4800
South San Francisco-San Bruno WQCP,SSFSB_Order_Finalsigned.txt,SSFSB_Order_Finalsigned_South_San_Francisco_San_Bruno_WQCP.json,7002,10316,17318,5248
St. Helena City WWTP,st. helena_order r2-2021-0004.txt,st. helena_order r2-2021-0004_St_Helena_City_WWTP.json,5691,12374,18065,4032
Stallion Springs WWTF,r5-2023-0025-012.txt,r5-2023-0025-012_Stallion_Springs_WWTF.json,3776,6851,10627,2880
Mineral WWTP,r5-2023-0040_npdes.txt,r5-2023-0040_npdes_Mineral_WWTP.json,4137,9263,13400,3136
Treasure Island WWTP/DOD,R2-2020-0020.txt,R2-2020-0020_Treasure_Island_WWTP_DOD.json,5413,11037,16450,4160
USS-UPI LLC - NPDES/SUB15,R2-2016-0043.txt,R2-2016-0043_USS_UPI_LLC_NPDES_SUB15.json,5664,8518,14182,4864
Raymond A. Boege Alvarado WWTP (Union SD),EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_Raymond_A_Boege_Alvarado_WWTP_Union_SD.json,5894,14274,20168,4032
Thunder Valley Casino WWTP,thundervalley_wwtp_mgo_noa.txt,thundervalley_wwtp_mgo_noa_Thunder_Valley_Casino_WWTP.json,4170,7074,11244,3392
Valley SD WWTP,R7-2026-0003.txt,R7-2026-0003_Valley_SD_WWTP.json,7390,10485,17875,5120
Victor Valley Wastewater Reclamation Authority WTP,r6v_2020_0028_vvwra_npdes_permit.txt,r6v_2020_0028_vvwra_npdes_permit_Victor_Valley_Wastewater_Reclamation_Authority_WTP.json,5685,13929,19614,3904
Edward C. Little Water Recycling Plant (Recycled Water Irrigation),Adopted ECLWRF NPDES CI-7449 111623.txt,Adopted ECLWRF NPDES CI-7449 111623_Edward_C_Little_Water_Recycling_Plant_Recycled_Water_Irrigation.json,4178,9923,14101,3136
Juanita Millender-McDonald Carson Regional Water Recycling Plant,Adopted JMMCRWRP CI-7972 03012024.txt,Adopted JMMCRWRP CI-7972 03012024_Juanita_Millender_McDonald_Carson_Regional_Water_Recycling_Plant.json,5261,9506,14767,4544
West County WW District WPCP,R2-2024-0008 West County.txt,R2-2024-0008 West County_West_County_WW_District_WPCP.json,8028,12019,20047,5568
Yountville / CA Vets Home WWTP,Town of Yountville Order R2-2020-0026.txt,Town of Yountville Order R2-2020-0026_Yountville_CA_Vets_Home_WWTP.json,5411,9732,15143,3328
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,AmendedOrderR92019167_DigitalSignature signed dwg 12-14-21.txt,AmendedOrderR92019167_DigitalSignature signed dwg 12-14-21_USMC_Camp_Pendleton_Southern_Regional_Tertiary_Treatment_Plant.json,6651,13000,19651,4992
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,AmendingOrderR920210205_DigitalSignature signed dwg 12-17-21.txt,AmendingOrderR920210205_DigitalSignature signed dwg 12-17-21_USMC_Camp_Pendleton_Southern_Regional_Tertiary_Treatment_Plant.json,7210,13226,20436,5312
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,MCBCP_Final_Adopted_Order_R9-2019-0167.txt,MCBCP_Final_Adopted_Order_R9-2019-0167_USMC_Camp_Pendleton_Southern_Regional_Tertiary_Treatment_Plant.json,8100,13141,21241,5568
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,R9-2019-0167_Amended2020 signed dwg 08-17-20.txt,R9-2019-0167_Amended2020 signed dwg 08-17-20_USMC_Camp_Pendleton_Southern_Regional_Tertiary_Treatment_Plant.json,6148,13019,19167,3712
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,R9-2020-0191_Final_Order signed dwg 08-17-20.txt,R9-2020-0191_Final_Order signed dwg 08-17-20_USMC_Camp_Pendleton_Southern_Regional_Tertiary_Treatment_Plant.json,9495,12962,22457,6336
