Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Yreka City,"701 Fourth Street, Yreka, CA 96097",Yreka Biosolids Disposal Facility,"1614  East Oberlin Road, Yreka, CA 96097",41.71535,-122.61038,Wastewater Treatment Facility,,Siskiyou,1,WDRMUNIOTH,Active,WDR,00-032,1A00016RSIS,,04/27/2000,04/27/2000,,2010-04-27,0,,B,2,,,,0,0,
JH Ranch,"8525 Homestead Lane, Etna, CA 96027",JH Ranch,"8525 Homestead Lane, Etna, CA 96027",41.36561,-122.90496,Wastewater Treatment Facility,562991,Siskiyou,1,WDRMUNIOTH,Active,WDR,R1-2016-0013,1A14143RSIS,,04/07/2016,04/07/2016,,2031-04-07,0.045,,C,3,,,,0,29,
CA Dept of Trans D1,"1656 Union Street, Eureka, CA 95501",CDOT Collier Tunnel Rest Area,"Highway 199, Gasquet, CA 95543",41.89934,-123.7697,Wastewater Treatment Facility,,Del Norte,1,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,1A171868RDN,,,06/18/2018,,2029-09-23,0.001900,,B,3,,,,0,0,
"Plant Sciences, Inc.","Po Box 269, Macdoel, CA 96058","Plant Sciences, Inc. Juniper Village 2, Macdoel Middle School","13001 Old State Highway, Macdoel, CA 96058",41.81352,-122.00554,Wastewater Treatment Facility,,Siskiyou,1,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,1A25094RSIS,,,08/27/2025,,2029-09-23,,,C,3,,,,0,0,
Happy Camp Sanitation District,"Po Box 378, Happy Camp, CA 96039",Happy Camp WWTP,"Highway 96, Happy Camp, CA 96039",41.77696,-123.39872,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNILRG,Active,WDR,R1-2022-0011,1A75211OSIS,,06/09/2022,06/09/2022,,2037-06-09,.32,,B,3,,,,0,9,
Montague City,"Po Box 428, Montague, CA 96064",Montague STP,"1030 13th Street, Montague, CA 96064",41.73401,-122.53957,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNILRG,Active,WDR,96-068,1A76081OSIS,,09/26/1996,09/26/1996,,2014-09-24,.24,,B,3,,,,0,6,
Grenada Sanitary District,"Po Box 371, Grenada, CA 96038",Grenada Sanitary District STP,"Grenada-Road A-12, Montague, CA 96064",41.64724,-122.53064,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNIOTH,Active,WDR,87-12101,1A76162OSIS,,09/24/1987,09/24/1987,,2027-09-23,.023,,B,3,,,,0,0,
Dorris City,"Po Box 768, Dorris, CA 96023",Dorris City STP,"Highway 97, Dorris, CA 96023",41.95848,-121.92127,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNILRG,Active,WDR,98-004,1A77141OSIS,,02/26/1998,02/26/1998,,2013-02-24,.12,,B,2,,,,1,4,
Newell CWD,"405 Fifth Avenue, Tulelake, CA 96134",Newell CWD STP,"113 Highway, Tulelake, CA 96134",41.89846,-121.36382,Wastewater Treatment Facility,4952,Modoc,1,WDRMUNIOTH,Active,WDR,97-093,1A78041OMOD,,09/25/1997,09/25/1997,,2014-09-25,.057,,B,3,,,,0,0,
Lake Shastina CSD,"16309 Everhart Drive, Weed, CA 96094-9400",Lake Shastina CSD STP,"County Road 20, Weed, CA 96094",41.557222,-122.3775,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNILRG,Active,WDR,R1-2012-0029,1A79010OSIS,,06/07/2012,06/07/2012,,2022-06-07,.132,,B,3,,,,0,0,
