FINAL_UNIT_PROCESS_NAME,WERF_CODE,DISPOSAL_CODE,Notes
"Activated Sludge, Anaerobic/Anoxic",AS,,This one is typically present with another designation that is more descriptive. 
"Activated Sludge, Anaerobic/Anoxic/Oxic",AS-A2O,,
"Activated Sludge, Complete Mix",AS,,
"Activated Sludge, Contact Stabilization",AS,,
"Activated Sludge, Conventional",AS,,
"Activated Sludge, Extended Aeration",AS-EA,,
"Activated Sludge, High Rate",AS,,
"Activated Sludge, Other Mode",AS,,
"Activated Sludge, Pure Oxygen",AS-PUREO,,
"Activated Sludge, Step Aeration",AS-SA,,
"Activated Sludge, With Biological Denitrification",AS-BDENIT,,
"Activated Sludge, with Phosphorus Removal",AS-P,,
Aerobic membrane bioreactor,MBR,,
Biological Denitrification,BDENIT,,
"Biological Denitrification, (Separate Stage)",BDENIT,,
Biological Nitrification - Separate Stage,BNIT,,
Biological Nutrient Removal,BNR,,
Biological Nutrient Removal (BNR) Membrane Bio-Reactor (MBR),MBR-BNR,,
"Biosolids Aerobic Digestion, Air",AED,,
"Biosolids Aerobic Digestion, Autothermal Thermophilic",AED,,
"Biosolids Aerobic Digestion, Autothermal Thermophilic Oxygen",AED,,
"Biosolids Aerobic Digestion, Oxygen",AED,,
"Biosolids Anaerobic Digestion, Mesophilic",AND,,
"Biosolids Anaerobic Digestion, Other",AND,,
"Biosolids Anaerobic Digestion, Thermophilic",AND,,
Biosolids Co-Incineration With Solid Waste,FBI,,ASSUMED CONSERVATIVELY TO BE FB
Biosolids Digestor Gas Utilization Facilities,BIOGAS_CWNS,,
Biosolids Heat Drying,BIODRY,,
Biosolids Incineration (Other),FBI,FBI,
"Biosolids Incineration, Fluidized Bed",FBI,FBI,
"Biosolids Incineration, Multiple Hearth",MHI,MHI,
Biosolids Lagoon,BS_LAGOON,,
Biosolids Lime Stabilization,LIME,,
Biosolids Mechanical Dewatering (Centrifuge),DEWATER,,
Biosolids Mechanical Dewatering (Filter Press),DEWATER,,
Biosolids Mechanical Dewatering (Other),DEWATER,,
Biosolids Mechanical Dewatering (Pressure Filter),DEWATER,,
Biosolids Mechanical Dewatering (Vacuum Filter),DEWATER,,
Biosolids Other Dewatering,DEWATER,,
"Chemical Addition (Alum), Primary",PRIMARY,,
"Chemical Addition (Ferric Chloride), Primary",PRIMARY,,
"Chemical Addition (Other), Primary",PRIMARY,,
Constructed Wetlands,CONWTLND,,
Constructed Wetlands (Resource Extraction),CONWTLND,,
