WDID,Place ID,Facility Name,NPDES No.,Region,Latitude_CIWQS,Longitude_CIWQS,Latitude_CWNS,Longitude_CWNS,CWNS_ID,FACILITY_ID,CWNS Facility Name
1A84006ODN,216106,Crescent City WWTP,CA0022756,1,41.747406,-124.201159,41.747030,-124.201770,06001041001,1175206,Crescent City WWTF
1B83129OMEN,240307,Mendocino City CSD,CA0022870,1,39.305282,-123.806256,39.3051924,-123.80712,06001070001,1175229,Mendocino City WWTF
1B83134OHUM,252750,Rio Dell City WWTF,CA0022748,1,40.49716,-124.09453,40.4975,-124.0956,06001020001,1175189,RIO DELL WWTF
1B83136OHUM,224348,Ferndale City POTW,CA0022721,1,40.59299,-124.25944,40.593,-124.2597,06001008001,1175175,Ferndale WWTF
1B83147OHUM,252211,Redway POTW,CA0022781,1,40.129442,-123.824355,,,,,
1B84029OMEN,268960,Ukiah City WWTP,CA0022888,1,39.11233,-123.19158,39.1123,-123.1892,06001079001,1175232,Ukiah WWTF
1B82037OSON,272790,"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",CA0023345,1,38.538307,-122.816771,38.5408,-122.8168,06001036001,1175202,WINDSOR WWTF
1B82084OHUM,240093,McKinleyville WWTP,CA0024490,1,40.942438,-124.1224326,40.943764,-124.121733,06001015001,1175184,MCKINLEYVILLE WWTF
1B80081OHUM,237295,Loleta WWTF,CA0023671,1,40.6383,-124.22553,40.639480,-124.226682,06001069001,1175228,LOLETA WWTF
1B82151OHUM,223010,Eureka City Elk River WWTP,CA0024449,1,40.767,-124.195,40.766290,-124.195290,06001010005,1175180,ELK RIVER WWTF
1B80078OMEN,272646,Willits City WWTP,CA0023060,1,39.41935,-123.3422889,39.418094,-123.346510,06001027001,1175195,Willits WWTF
1B83009OMEN,215966,Covelo POTW,CA0023574,1,39.78761,-123.24819,39.7861028,-123.2450909,06001040001,1175205,Covelo WWTP
1B83099OSON,255703,Santa Rosa Laguna Subregional Water Reclamation Facility,CA0022764,1,38.36877,-122.76594,38.3688,-122.7686,06001045001,1175209,Laguna Wastewater Treatment Plant
1B83100OSON,224901,Forestville Water District,CA0023043,1,38.469722,-122.889722,38.4713,-122.8894,06001009001,1175176,FORESTVILLE WWTF
1B83104OHUM,784780,Scotia Town - City,CA0006017,1,40.485278,-124.1025,,,,,
1B83118OMEN,240318,Mendocino County WWD#2-Anchor Bay,CA0024040,1,38.80352,-123.57286,38.8034,-123.5785,06001049001,1175215,ANCHOR BAY WWTF
1B84060OSON,256050,Graton CSD,CA0023639,1,38.44973,-122.88082,38.4376,-122.8699,06001032001,1175200,GRATON WWTF
2 019123001,222123,EBDA Common Outfall,CA0037869,2,,,,,,,
3 270118002,241740,Monterey One Water Regional WWTP,CA0048551,3,36.705579,-121.770115,36.7192,-121.7877,06003012001,1175381,Monterey One Water (Regional WWTP and Advanced Water Purification Facility)
3 400101001,206888,Avila WWTP,CA0047830,3,35.18224,-120.73327,35.182240,-120.732923,06003058001,1175426,AVILA BEACH WWTF
2 071008001,213875,Central Contra Costa SD WWTP,CA0037648,2,38.000327,-122.068798,37.9971,-122.0697,06002025001,1175283,Central Contra Costa WWTF
1B85017RHUM,255165,Samoa Pacific WWTP (Samoa Town Site),CA1000001,1,40.8185,-124.18551,,,,,
2 386010001,256499,"SF-SE Water Pollution Control Plant, N-Point & Bayside",CA0038873,2,37.740805,-122.390454,37.741128,-122.390571,06002032003,1175289,Southeast WPCP
2 283003001,212750,Calistoga City Dunaweal WWTP,CA0037966,2,38.578692,-122.579288,38.5673,-122.5562,06002053001,1175311,Calistoga WWTP
2 283021001,205477,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),CA0038768,2,38.18883,-122.2782,38.1892,-122.2758,06002054001,3486530,American Canyon WWTF
2 215012001,236598,Las Gallinas WWTP,CA0037851,2,38.0256618,-122.5189548,38.025,-122.5169,06002108001,1175347,Las Gallinas Valley Sanitary District Sewage Treatment Plant
5B340101001,226690,Galt WWTP & Reclamation Facility,CAC443249,5S,38.29794,-121.32752,38.291419,-121.278248,06005054001,1175573,GALT WWTF
2 071029001,241815,Mt. View Sanitary District WWTP,CA0037770,2,38.01907,-122.09828,38.019097,-122.097775,06002024001,1175282,MOUNTAIN VIEW WWTF
2 215021002,239498,Marin CSD 5 Paradise Cove WWTP,CA0037427,2,37.89707,-122.46239,37.8973607,-122.4660442,06002063002,1175323,PARADISE COVE WWTF
3 400107001,255380,San Luis Obispo WWTP,CA0049224,3,35.256328,-120.673299,35.286685,-120.660095,06003004001,1175375,San Luis Obispo WRF
2 215023001,255802,Sausalito Marin City STP,CA0038067,2,37.84354,-122.4771,37.8433,-122.4775,06002072001,1175334,SAUSALITO-MARIN CITY WWTF
1B84086OHUM,256749,Shelter Cove POTW,CA0023027,1,40.03333,-124.07778,40.033702,-124.077229,06001055001,1175221,Shelter Cove WWTF
2 019014002,222130,EBMUD SD#1-Wet Wthr Bypass,CA0038440,2,,,,,,,
2 071039001,253174,Rodeo Sanitary District WWTP,CA0037826,2,38.040037,-122.26351,38.0401,-122.2636,06002064001,1175324,RODEO WWTF
2 019025001,237195,City of Livermore Water Reclamation Plant,CA0038008,2,37.69,-121.809,37.6894,-121.8075,06002109001,1175348,Livermore WRP
3 350102001,255337,San Juan Bautista WWTP,CA0047902,3,36.84967,-121.54413,36.849142,-121.544760,06003047001,1175415,SAN JUAN BAUTISTA WWTF
2 386009001,256498,SF - OCEANSIDE Water Pollution Control Plant,CA0037681,2,37.7278,-122.5047,37.7284,-122.5063,06002032005,443709,Oceanside WPCP
3 420111001,259377,Summerland SD WWTP,CA0048054,3,34.419298,-119.596606,34.4202,-119.5982,06003042001,1175409,Summerland WWTP
2 386013001,266328,Treasure Island WWTP/DOD,CA0110116,2,37.83055,-122.3704,37.8187,-122.3734,06002032004,442052,Treasure Island WWTF
2 215021001,239497,Marin CSD 5 - Tiburon WWTP,CA0037753,2,37.87264,-122.45084,37.8726463,-122.4508308,06002063001,1175322,Marin Co. SD #5 WWTF
2 417022002,212585,Calera Creek Water Recycling Plant,CA0038776,2,37.614722,-122.487778,37.615506,-122.487860,06000000091,3607829,Calera Creek Water Recycling Plant
2 215015001,255788,Sewerage Agency of Southern Marin (SASM) WWTP,CA0037711,2,37.895968,-122.52738,37.8967,-122.5274,06002015001,1175274,SASM WWTF
2 417032001,256506,SF Arprt Mel Leong TP-Industrl,CA0038318,2,37.63727,-122.38473,,,,,
