Place ID,WDID,Facility Name,Agency,Region,Major/Minor,Order_No,NPDES No.,Facility_URL,Reg_Measure_ID,Reg_Measure_Type,Addtl_Reg_Measure_ID,Addtl_WDID,PDF_File,Shared_PDF,Total_PDFs_Available
205325,5A250100001,Alturas Municipal WWTP,Alturas City,5R,Minor,R5-2020-0004,CA0078921,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205325,428906,NPDES PERMIT,396049,5A250100001,r5-2020-0004_npdes_minor_mod.pdf,No,9.0
205325,5A250100001,Alturas Municipal WWTP,Alturas City,5R,Minor,R5-2020-0004,CA0078921,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205325,428906,NPDES PERMIT,396049,5A250100001,R5-2014-0033.pdf,No,9.0
205477,2 283021001,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),American Canyon City PWD,2,Major,R2-2022-0019,CA0038768,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205477,448119,NPDES PERMIT,304952,2 283021001,Order R2-2022-0019 AmCan NPDES reissue Jun-2022.pdf,No,1.0
205477,2 283021001,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),American Canyon City PWD,2,Major,R2-2022-0019,CA0038768,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205477,448119,NPDES PERMIT,304952,2 283021001,american canyon R2-2006-0036.pdf,No,1.0
251217,5A320103001,American Valley WWTP,American Valley CSD,5R,Major,R5-2024-0008,CA0078981,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=251217,456253,NPDES PERMIT,"407661,407661","5A320103001,5A320103001",r5-2024-0008_npdes.pdf,No,1.0
251217,5A320103001,American Valley WWTP,American Valley CSD,5R,Major,R5-2024-0008,CA0078981,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=251217,456253,NPDES PERMIT,"407661,407661","5A320103001,5A320103001",r5-2016-0049.pdf,Yes,1.0
251217,5A320103001,American Valley WWTP,American Valley CSD,5R,Major,R5-2024-0008,CA0078981,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=251217,456253,NPDES PERMIT,"407661,407661","5A320103001,5A320103001",r5-2016-0049.pdf,Yes,1.0
205741,5A450100001,Anderson WPCP,Anderson City,5R,Major,R5-2019-0068,CA0077704,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205741,429568,NPDES PERMIT,383767,5A450100001,r5-2019-0068_npdes.pdf,No,2.0
205741,5A450100001,Anderson WPCP,Anderson City,5R,Major,R5-2019-0068,CA0077704,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205741,429568,NPDES PERMIT,383767,5A450100001,R5-2014-0100.pdf,No,2.0
205793,5B05NP00007,Angels City WWTP,Angels City,5S,Minor,R5-2022-0038,CA0085201,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205793,448453,NPDES PERMIT,"413895,388190,326429","5B05NP00007,5B05NP00007,5B05NP00007",r5-2022-0038_npdes.pdf,No,1.0
205793,5B05NP00007,Angels City WWTP,Angels City,5S,Minor,R5-2022-0038,CA0085201,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=205793,448453,NPDES PERMIT,"413895,388190,326429","5B05NP00007,5B05NP00007,5B05NP00007",r5-2017-0063.pdf,No,1.0
